id,lang,created_at,author_id,text,conversation_id,retweet_count,reply_count,like_count,quote_count,clean_text,sentiment_label,sentiment_score
1.551891822833676e+18,en,2022-07-26 11:26:57,9.458843556074044e+17,"Bad news, guys. If you're Indonesian fellas that seeing this tweet and playing games that published/developed by Nintendo, Epic Games, and EA, you're must worried. Why? Because their PSE still not registered on Kominfo. Idk if I can play Apex Mobile in the future #BlokirKominfo https://t.co/R8Ew2eZxQp",1.551891822833676e+18,3,4,2,0,"bad news, guys. if you're indonesian fellas that seeing this tweet and playing games that published/developed by nintendo, epic games, and ea, you're must worried. why? because their pse still not registered on kominfo. idk if i can play apex mobile in the future #HASHTAG HTTPURL",neutral,0.7048405408859253
1.551889454553776e+18,qht,2022-07-26 11:17:33,9.406221227155128e+17,#BlokirKominfo https://t.co/e0dvCJyn8B,1.551889454553776e+18,0,0,1,0,#HASHTAG HTTPURL,neutral,0.9602899551391602
1.551861730149556e+18,en,2022-07-26 09:27:23,1.380042071042449e+18,@kominfu @kemkominfo i never see that either now only blank page coz i #blokirkominfo 😆😆,1.551860130437669e+18,0,1,2,0,@USER @USER i never see that either now only blank page coz i #HASHTAG :grinning_squinting_face::grinning_squinting_face:,neutral,0.6143607497215271
1.551855277439197e+18,id,2022-07-26 09:01:44,9.473244821373706e+17,"thanks a lot kominfo, karena mu aku gampang mencari target 😘
Bismillah dalam tiga puluh hari tembus lima bounty...
#BlokirKominfo",1.551855277439197e+18,0,1,1,0,"thanks a lot kominfo, karena mu aku gampang mencari target :face_blowing_a_kiss: bismillah dalam tiga puluh hari tembus lima bounty... #HASHTAG",neutral,0.8048951625823975
1.551849274400735e+18,id,2022-07-26 08:37:53,159217885.0,"#RIPLion ACTOR JIN #percumalaporpolisi Mas Adam Gmail #BlokirKominfo Haaland kim garam With You Suga CCTV bighit happy birthday fajri GET WELL SOON JAY Grealish masa depan nkri #JISOO ACTOR KIM SEOKJIN PROUD OF YOU JIN Biore
https://t.co/Bb7h6DkiPx",1.551849274400735e+18,0,0,0,0,#HASHTAG actor jin #HASHTAG mas adam gmail #HASHTAG haaland kim garam with you suga cctv bighit happy birthday fajri get well soon jay grealish masa depan nkri #HASHTAG actor kim seokjin proud of you jin biore HTTPURL,neutral,0.850963294506073
1.551849252275749e+18,id,2022-07-26 08:37:48,116982303.0,"#RIPLion ACTOR JIN #percumalaporpolisi Mas Adam Gmail #BlokirKominfo Haaland kim garam With You Suga CCTV bighit happy birthday fajri GET WELL SOON JAY Grealish masa depan nkri #JISOO ACTOR KIM SEOKJIN PROUD OF YOU JIN Biore
https://t.co/JC035nVJFL",1.551849252275749e+18,0,0,0,0,#HASHTAG actor jin #HASHTAG mas adam gmail #HASHTAG haaland kim garam with you suga cctv bighit happy birthday fajri get well soon jay grealish masa depan nkri #HASHTAG actor kim seokjin proud of you jin biore HTTPURL,neutral,0.850963294506073
1.551849224371044e+18,id,2022-07-26 08:37:41,1464717420.0,"#RIPLion ACTOR JIN #percumalaporpolisi Mas Adam Gmail #BlokirKominfo Haaland kim garam With You Suga CCTV bighit happy birthday fajri GET WELL SOON JAY Grealish masa depan nkri #JISOO ACTOR KIM SEOKJIN PROUD OF YOU JIN Biore
https://t.co/f5ElS29Wxr",1.551849224371044e+18,0,0,0,0,#HASHTAG actor jin #HASHTAG mas adam gmail #HASHTAG haaland kim garam with you suga cctv bighit happy birthday fajri get well soon jay grealish masa depan nkri #HASHTAG actor kim seokjin proud of you jin biore HTTPURL,neutral,0.850963294506073
1.55184430055175e+18,id,2022-07-26 08:18:07,1464717420.0,"#RIPLion ACTOR JIN #percumalaporpolisi Mas Adam Gmail #BlokirKominfo Haaland kim garam With You Suga CCTV bighit happy birthday fajri GET WELL SOON JAY Grealish masa depan nkri #JISOO ACTOR KIM SEOKJIN PROUD OF YOU JIN Biore
https://t.co/nCxVshxgbG",1.55184430055175e+18,0,0,0,0,#HASHTAG actor jin #HASHTAG mas adam gmail #HASHTAG haaland kim garam with you suga cctv bighit happy birthday fajri get well soon jay grealish masa depan nkri #HASHTAG actor kim seokjin proud of you jin biore HTTPURL,neutral,0.850963294506073
1.551844277130383e+18,id,2022-07-26 08:18:02,116982303.0,"#RIPLion ACTOR JIN #percumalaporpolisi Mas Adam Gmail #BlokirKominfo Haaland kim garam With You Suga CCTV bighit happy birthday fajri GET WELL SOON JAY Grealish masa depan nkri #JISOO ACTOR KIM SEOKJIN PROUD OF YOU JIN Biore
https://t.co/n0QAC7cyii",1.551844277130383e+18,0,0,0,0,#HASHTAG actor jin #HASHTAG mas adam gmail #HASHTAG haaland kim garam with you suga cctv bighit happy birthday fajri get well soon jay grealish masa depan nkri #HASHTAG actor kim seokjin proud of you jin biore HTTPURL,neutral,0.850963294506073
1.551844249087672e+18,id,2022-07-26 08:17:55,159217885.0,"#RIPLion ACTOR JIN #percumalaporpolisi Mas Adam Gmail #BlokirKominfo Haaland kim garam With You Suga CCTV bighit happy birthday fajri GET WELL SOON JAY Grealish masa depan nkri #JISOO ACTOR KIM SEOKJIN PROUD OF YOU JIN Biore
https://t.co/BKSLLnZibB",1.551844249087672e+18,0,0,0,0,#HASHTAG actor jin #HASHTAG mas adam gmail #HASHTAG haaland kim garam with you suga cctv bighit happy birthday fajri get well soon jay grealish masa depan nkri #HASHTAG actor kim seokjin proud of you jin biore HTTPURL,neutral,0.850963294506073
