id,created_at,text,author_id,conversation_id,lang,retweet_count,reply_count,like_count,quote_count,clean_text,sentiment_label,sentiment_score
1.553055529228206e+18,2022-07-29 16:31:07,"This is by far the biggest blunder the goverment have done. Instead of improving the shitty internet regulations they made it worst. Blocking dangerous apps i get, but blocking entertainment apps and informational apps and their distributor is just stupid. #BlokirKominfo",1.519946045186535e+18,1.553055529228206e+18,en,0,1,1,0,"this is by far the biggest blunder the goverment have done. instead of improving the shitty internet regulations they made it worst. blocking dangerous apps i get, but blocking entertainment apps and informational apps and their distributor is just stupid. #HASHTAG",negative,0.97479248046875
1.553026191711281e+18,2022-07-29 14:34:32,Jujur gua penasaran harus sejauh apa blunder dari kominfo sampai mereka akhirnya mau benar2 dengerin masyarakat #BlokirKominfo #ProtesNetizen #PSEmelanggarHAM,1.47731104451509e+18,1.553026191711281e+18,id,0,1,4,0,jujur gua penasaran harus sejauh apa blunder dari kominfo sampai mereka akhirnya mau benar2 dengerin masyarakat #HASHTAG #HASHTAG #HASHTAG,negative,0.9847760796546936
1.553025057387344e+18,2022-07-29 14:30:02,"Ini kyknya hashtag #blokirkominfo pada dibungkam sama topik lainnya deh.

Ada apaan ini? Kok tiba2 diam aja? 😵💫😵💫😵💫",297321870.0,1.553025057387344e+18,id,0,1,2,0,ini kyknya hashtag #HASHTAG pada dibungkam sama topik lainnya deh. ada apaan ini? kok tiba2 diam aja? :face_with_crossed-out_eyes::dizzy::face_with_crossed-out_eyes::dizzy::face_with_crossed-out_eyes::dizzy:,negative,0.948591411113739
1.553023491292951e+18,2022-07-29 14:23:48,"Waktu terus berjalan....

Kini saatnya untuk meneken petisinya sekarang sebelum terlambat!

https://t.co/CqfjMTk2Ab
https://t.co/kDCcKWW2Po

#BlokirKominfo #ProtesNetizen 
#PSEmelanggarHAM #PSEBerbauKomunis",706776804.0,1.553023491292951e+18,id,2,0,2,0,waktu terus berjalan.... kini saatnya untuk meneken petisinya sekarang sebelum terlambat! HTTPURL HTTPURL #HASHTAG #HASHTAG #HASHTAG #HASHTAG,neutral,0.9678028225898743
1.553015127418749e+18,2022-07-29 13:50:34,"Jangan main catut @kemkominfo. Segera klarifikasi pencatutan tersebut!

#BlokirKominfo https://t.co/CmEIK2fHjx",2919929138.0,1.553015127418749e+18,id,0,0,4,0,jangan main catut @USER segera klarifikasi pencatutan tersebut! #HASHTAG HTTPURL,neutral,0.84514319896698
1.553000074942497e+18,2022-07-29 12:50:45,😡😡😡 #BlokirKominfo https://t.co/0RdBSARZqJ,1.18883153189827e+18,1.553000074942497e+18,und,0,0,1,0,:pouting_face::pouting_face::pouting_face: #HASHTAG HTTPURL,neutral,0.9915350675582886
1.552994951457575e+18,2022-07-29 12:30:24,"Apa lagi jika YouTube Diblokir, pada lari kemana? Pembuat Konten juga ikut merugi gegara Pemblokiran tersebut...

#BlokirKominfo #ProtesNetizen 
#PSEmelanggarHAM #PSEBerbauKomunis",706776804.0,1.552994951457575e+18,id,4,1,2,0,"apa lagi jika youtube diblokir, pada lari kemana? pembuat konten juga ikut merugi gegara pemblokiran tersebut... #HASHTAG #HASHTAG #HASHTAG #HASHTAG",negative,0.9968947172164917
1.552993042311029e+18,2022-07-29 12:22:49,"Jika Layanan Google Diblokir Gegara PSE, Semua fungsi akan semakin berantakan....

#BlokirKominfo #ProtesNetizen 
#PSEmelanggarHAM #PSEBerbauKomunis",706776804.0,1.552993042311029e+18,id,2,0,3,0,"jika layanan google diblokir gegara pse, semua fungsi akan semakin berantakan.... #HASHTAG #HASHTAG #HASHTAG #HASHTAG",negative,0.9911473393440247
1.552986891670417e+18,2022-07-29 11:58:22,"emang @kemkominfo anjing🖕🖕 #BlokirKominfo
klo gw ditangkep jgn lupa mainin genshin gw ya https://t.co/pjmR96Eb4a",1.39669464450363e+18,1.552986891670417e+18,id,1,0,4,0,emang @USER anjing:middle_finger::middle_finger: #HASHTAG klo gw ditangkep jgn lupa mainin genshin gw ya HTTPURL,neutral,0.7673381567001343
1.55298121416824e+18,2022-07-29 11:35:49,"1 Negara bakal kecewa berat gara-gara Pemblokiran Masif yang tidak terdaftar di PSE...

Apakah Benar PSE Melanggar HAM?

#BlokirKominfo #ProtesNetizen 
#PSEmelanggarHAM #PSEBerbauKomunis",706776804.0,1.55298121416824e+18,id,1,1,2,0,1 negara bakal kecewa berat gara-gara pemblokiran masif yang tidak terdaftar di pse... apakah benar pse melanggar ham? #HASHTAG #HASHTAG #HASHTAG #HASHTAG,negative,0.9906390905380249
