id,conversation_id,lang,created_at,author_id,text,retweet_count,reply_count,like_count,quote_count,clean_text,sentiment_label,sentiment_score
1.55303362734028e+18,1.55303362734028e+18,id,2022-07-29 15:04:05,1.369573838007063e+18,"nyusahin rakyat..Cuma sebatas inikah hasil pienice tubel ke LN??
bener2 mubazir!pemborosan!

@PNS_Ababil @LPDP_RI @PerekonomianRI @PolhukamRI @Kemhan_RI @kemenkopmk @prastow @bpkri @KPK_RI  
https://t.co/KjaO6dK2Q4",0,0,0,0,nyusahin rakyat..cuma sebatas inikah hasil pienice tubel ke ln?? bener2 mubazir!pemborosan! @USER @USER @USER @USER @USER @USER @USER @USER @USER HTTPURL,negative,0.9971838593482971
1.553013822209741e+18,1.553013822209741e+18,id,2022-07-29 13:45:23,1.09263884887244e+18,"Pada Kamis (28/7) pukul 07.35 WIB, Roblox dan Opera sudah terlihat dalam daftar di laman https://t.co/P7auYdzeQM. Hingga saat ini, tercatat 8.572 PSE domestik dan 231 PSE Asing sudah mendaftar.
@kemkominfo @PlateJohnny @jokowi
https://t.co/8mJR5wp67U",0,0,1,0,"pada kamis (28/7) pukul 07.35 wib, roblox dan opera sudah terlihat dalam daftar di laman HTTPURL hingga saat ini, tercatat 8.572 pse domestik dan 231 pse asing sudah mendaftar. @USER @USER @USER HTTPURL",neutral,0.9941547513008118
1.552998937698632e+18,1.552998937698632e+18,id,2022-07-29 12:46:14,3570716532.0,Kominfo Bakal Blokir Steam hingga Epic Games Bila Tak Daftar PSE Sampai Tengah Malam https://t.co/j4DI0Gafzx,0,0,0,0,kominfo bakal blokir steam hingga epic games bila tak daftar pse sampai tengah malam HTTPURL,neutral,0.9933885335922241
1.552988742897799e+18,1.552988742897799e+18,id,2022-07-29 12:05:44,2352745627.0,"Epic Game, Steam, dan Dota Belum Daftar PSE

Pada Kamis (28/7) pukul 07.35 WIB, Roblox &amp; Opera sdh terlihat dalam daftar di laman https://t.co/knx4xShDHS. Hingga saat ini, tercatat 8.572 PSE domestik dan 231 PSE Asing sdh mendaftar
@PlateJohnny
@kemkominfo
https://t.co/1JAwsfW5gN",0,0,0,0,"epic game, steam, dan dota belum daftar pse pada kamis (28/7) pukul 07.35 wib, roblox & opera sdh terlihat dalam daftar di laman HTTPURL hingga saat ini, tercatat 8.572 pse domestik dan 231 pse asing sdh mendaftar @USER @USER HTTPURL",neutral,0.9932958483695984
1.552982527236706e+18,1.552982527236706e+18,id,2022-07-29 11:41:02,1.12451724572235e+18,"10 PSE Terancam Diblokir Kominfo, Termasuk Steam, Epic Games dan Yahoo https://t.co/56aURb9oHW #Pse #SistemElektronik #Kominfo #PseKominfo",3,0,0,0,"10 pse terancam diblokir kominfo, termasuk steam, epic games dan yahoo HTTPURL #HASHTAG #HASHTAG #HASHTAG #HASHTAG",neutral,0.9863986372947693
1.552973367774364e+18,1.552973367774364e+18,zxx,2022-07-29 11:04:38,2936131.0,https://t.co/XQpSf2JyeI,0,0,0,0,HTTPURL,neutral,0.41922974586486816
1.552971299471114e+18,1.552971299471114e+18,id,2022-07-29 10:56:25,1.244551614553154e+18,"epic games, steam, dota, battle. net ga ada kabar. Kominfo bakal mulai blokir malam ini
#psekominfo",0,1,0,0,"epic games, steam, dota, battle. net ga ada kabar. kominfo bakal mulai blokir malam ini #HASHTAG",neutral,0.9867002964019775
1.552971052153819e+18,1.552971052153819e+18,id,2022-07-29 10:55:26,135815019.0,"Kominfo ungkap 10 layanan belum daftar PSE kendati sudah dikirimkan surat teguran, seperti Steam, Dota dan Epic Games. Sanksi pemblokiran siap diberlakukan. https://t.co/ytYWk20PDN",3,0,3,1,"kominfo ungkap 10 layanan belum daftar pse kendati sudah dikirimkan surat teguran, seperti steam, dota dan epic games. sanksi pemblokiran siap diberlakukan. HTTPURL",neutral,0.9957085847854614
1.552967467349053e+18,1.552967467349053e+18,id,2022-07-29 10:41:11,1.228626017591255e+18,"..https://t.co/Wtcp0hmRem

Kominfo ungkap 10 layanan belum daftar PSE kendati sudah dikirimkan surat teguran, seperti Steam, Dota dan Epic Games. Sanksi pemblokiran siap diberlakukan.",0,0,2,0,"HTTPURL kominfo ungkap 10 layanan belum daftar pse kendati sudah dikirimkan surat teguran, seperti steam, dota dan epic games. sanksi pemblokiran siap diberlakukan.",neutral,0.9952763319015503
1.552940988884451e+18,1.552940988884451e+18,id,2022-07-29 08:55:58,76581610.0,"Hingga saat ini, sederet platform besar, seperti search engine Yahoo dan Bing, game DoTA, Steam, e-commerce Amazon, CS Go, Origin, Epic Game, belum juga mendaftar. 

Kalian mau semangati Kominfo untuk blokir
or
Platform suruh nyerah dan daftar PSE? https://t.co/gjhkx2bOGB",7,18,36,7,"hingga saat ini, sederet platform besar, seperti search engine yahoo dan bing, game dota, steam, e-commerce amazon, cs go, origin, epic game, belum juga mendaftar. kalian mau semangati kominfo untuk blokir or platform suruh nyerah dan daftar pse? HTTPURL",negative,0.8382173776626587
1.552938346825265e+18,1.552938346825265e+18,id,2022-07-29 08:45:28,9.73499108412375e+17,"Epic Game, Steam, dan Dota Belum Daftar PSE
DirJen Aplikasi Informatika Kementerian Kominfo Semuel Abrijani mengatakan, dari jumlah yang direkap pada Kamis (21/7), masih terdapat beberapa PSE populer yang belum mendaftar.
@PlateJohnny 
@kemkominfo https://t.co/q5PvsjbY4K",0,0,0,0,"epic game, steam, dan dota belum daftar pse dirjen aplikasi informatika kementerian kominfo semuel abrijani mengatakan, dari jumlah yang direkap pada kamis (21/7), masih terdapat beberapa pse populer yang belum mendaftar. @USER @USER HTTPURL",neutral,0.9906173348426819
1.552937997934658e+18,1.552937997934658e+18,id,2022-07-29 08:44:05,1.429810270898049e+18,"Epic Game, Steam, dan Dota Belum Daftar PSE
Kementerian Komunikasi dan Informatika (Kominfo) menetapkan batas waktu pendaftaran untuk Penyelenggara Sistem Elektronik  Lingkup Privat baik lokal maupun asing pada tanggal 27 Juli.
@PlateJohnny 
@kemkominfo https://t.co/AoroYIIL3Q",0,0,0,0,"epic game, steam, dan dota belum daftar pse kementerian komunikasi dan informatika (kominfo) menetapkan batas waktu pendaftaran untuk penyelenggara sistem elektronik lingkup privat baik lokal maupun asing pada tanggal 27 juli. @USER @USER HTTPURL",neutral,0.9936414361000061
1.552937633479012e+18,1.552937633479012e+18,id,2022-07-29 08:42:38,1.20164818652944e+18,"Epic Game, Steam, dan Dota Belum Daftar PSE
dari platform gim, ada 7 PSE yang masih belum mendaftar ke Kemenkominfo. Selain platform gim, Kominfo juga mencatat ada 6 PSE lainnya yang masih belum mendaftar.
@PlateJohnny 
@kemkominfo https://t.co/4MgWmnRjbU",0,0,0,0,"epic game, steam, dan dota belum daftar pse dari platform gim, ada 7 pse yang masih belum mendaftar ke kemenkominfo. selain platform gim, kominfo juga mencatat ada 6 pse lainnya yang masih belum mendaftar. @USER @USER HTTPURL",neutral,0.9868971705436707
1.552926163169067e+18,1.552926163169067e+18,id,2022-07-29 07:57:03,1.442246515649434e+18,"Direktur Jenderal Aplikasi Informatika Kementerian Kominfo Semuel Abrijani mengatakan, dari jumlah yang direkap pada Kamis (21/7), masih terdapat beberapa PSE populer yang belum mendaftar.
@kemkominfo
@PlateJohnny
https://t.co/LikMjbqA73",0,0,0,0,"direktur jenderal aplikasi informatika kementerian kominfo semuel abrijani mengatakan, dari jumlah yang direkap pada kamis (21/7), masih terdapat beberapa pse populer yang belum mendaftar. @USER @USER HTTPURL",neutral,0.9932339787483215
1.552926033187607e+18,1.552926033187607e+18,id,2022-07-29 07:56:32,1.37233185308491e+18,"Pada Kamis (28/7) pukul 07.35 WIB, Roblox dan Opera sudah terlihat dalam daftar di laman https://t.co/okhOFWnUAM. Hingga saat ini, tercatat 8.572 PSE domestik dan 231 PSE Asing sudah mendaftar.
@kemkominfo
@PlateJohnny
https://t.co/TuElypDtmb",0,0,2,0,"pada kamis (28/7) pukul 07.35 wib, roblox dan opera sudah terlihat dalam daftar di laman HTTPURL hingga saat ini, tercatat 8.572 pse domestik dan 231 pse asing sudah mendaftar. @USER @USER HTTPURL",neutral,0.9944572448730469
1.552925893294965e+18,1.552925893294965e+18,id,2022-07-29 07:55:59,1.371566356093489e+18,"Kementerian Komunikasi dan Informatika (Kominfo) menetapkan batas waktu pendaftaran untuk Penyelenggara Sistem Elektronik (PSE) Lingkup Privat baik lokal maupun asing pada tanggal 27 Juli.
@kemkominfo
@PlateJohnny
https://t.co/CmaLyQt0cK",0,0,1,0,kementerian komunikasi dan informatika (kominfo) menetapkan batas waktu pendaftaran untuk penyelenggara sistem elektronik (pse) lingkup privat baik lokal maupun asing pada tanggal 27 juli. @USER @USER HTTPURL,neutral,0.9959239959716797
1.552916229030941e+18,1.552916229030941e+18,id,2022-07-29 07:17:35,1.278294276238045e+18,"Roblox dan Opera sudah terlihat dalam daftar di laman https://t.co/zNMYtfMMAX. Hingga saat ini, tercatat 8.572 PSE domestik dan 231 PSE Asing sudah mendaftar. @PlateJohnny @kemkominfo @Prabu_dasamuka 
https://t.co/8ND6czISe5",0,0,0,0,"roblox dan opera sudah terlihat dalam daftar di laman HTTPURL hingga saat ini, tercatat 8.572 pse domestik dan 231 pse asing sudah mendaftar. @USER @USER @USER HTTPURL",neutral,0.9939473867416382
1.552915834582217e+18,1.552915834582217e+18,id,2022-07-29 07:16:01,1.260256795492184e+18,"Kominfo menetapkan batas waktu pendaftaran untuk Penyelenggara Sistem Elektronik (PSE) Lingkup Privat baik lokal maupun asing pada tanggal 27 Juli. @PlateJohnny @kemkominfo @setengahmalass 
https://t.co/qwjcyPclvL",0,0,0,0,kominfo menetapkan batas waktu pendaftaran untuk penyelenggara sistem elektronik (pse) lingkup privat baik lokal maupun asing pada tanggal 27 juli. @USER @USER @USER HTTPURL,neutral,0.9955594539642334
1.552909598784229e+18,1.552909598784229e+18,id,2022-07-29 06:51:14,223873686.0,"Steam Valve, Epic Games, EA Origin, Battle net Blizzard, Microsoft Store, Github, Canva, Twitch tv. Amazon, Alexa, perusahaan nya terdaftar di Direktorat jenderal pajak bukan di PSE. klo Kominfo blokir maka Menteri Keuangan bertindak karena penerimaan pajak berkurang.",8,1,14,0,"steam valve, epic games, ea origin, battle net blizzard, microsoft store, github, canva, twitch tv. amazon, alexa, perusahaan nya terdaftar di direktorat jenderal pajak bukan di pse. klo kominfo blokir maka menteri keuangan bertindak karena penerimaan pajak berkurang.",neutral,0.9398945569992065
