id,text,created_at,conversation_id,lang,author_id,retweet_count,reply_count,like_count,quote_count,clean_text,sentiment_label,sentiment_score
1.553784212846653e+18,"kominfo dengan pse nya
ui dengan bpob nya
dhito dengan tutup comment di instagram nya

persetan dengan itu semua.. kasus negara apaan lagi coba dah anj yang bakal keluar abis ini??",2022-07-31 16:46:38,1.553784212846653e+18,id,1.260468543268758e+18,0,0,0,0,kominfo dengan pse nya ui dengan bpob nya dhito dengan tutup comment di instagram nya persetan dengan itu semua.. kasus negara apaan lagi coba dah anj yang bakal keluar abis ini??,negative,0.9956262111663818
1.553760801525481e+18,"Aku takut meninggal, jd bela2in makan di restoran temen (padahal temen gua jg lagi kelonan ama bininya). Kalo ada waktu jgn lupa mampir agar mereka bisa beli satelit NASA krn kominfo kntl

Oiya, nama restonya gozaru
https://t.co/D2D94e8EnT https://t.co/6KkoGekZ3W",2022-07-31 15:13:37,1.553759944192979e+18,id,139108254.0,0,2,7,0,"aku takut meninggal, jd bela2in makan di restoran temen (padahal temen gua jg lagi kelonan ama bininya). kalo ada waktu jgn lupa mampir agar mereka bisa beli satelit nasa krn kominfo kntl oiya, nama restonya gozaru HTTPURL HTTPURL",neutral,0.7426616549491882
1.553753835570876e+18,t. kominfo. paypal. instagram. agustus. senin. live. itzy. ryujin. redvelvet. https://t.co/pBxDNQIuss,2022-07-31 14:45:56,1.553753835570876e+18,id,1.54668573994113e+18,0,0,0,0,t. kominfo. paypal. instagram. agustus. senin. live. itzy. ryujin. redvelvet. HTTPURL,neutral,0.9975045323371887
1.553753230646989e+18,"Terimakasih!
––––––––––
Kominfo Himavo Akmapesa 2021/2022 

#AkmapesaIPB
#TheRealNumberOne
#CakraAdhigana
Line : @518lonbl
Instagram : akmapesaipb
Twitter : Akmapesaipb
YouTube : Himavo Akmapesa
Website : https://t.co/ocVDIgL1dP",2022-07-31 14:43:32,1.55375295460726e+18,id,384875870.0,0,0,0,0,terimakasih! –––––––––– kominfo himavo akmapesa 2021/2022 #HASHTAG #HASHTAG #HASHTAG line : @USER instagram : akmapesaipb twitter : akmapesaipb youtube : himavo akmapesa website : HTTPURL,neutral,0.9855138063430786
1.55374662896769e+18,"Pak Sandiaga Uno lagi live bareng Roy Citayam,

dia yang dukung kominfo buat blokir paypal dan steam,
sebagai menparekraf yang katanya dukung industri kreatif harus nya jangan biarin pemblokiran terjadi,

mari ramaikan live nya beliau,
#BlokirKominfo 

https://t.co/C8tJwbV3wz",2022-07-31 14:17:18,1.55374662896769e+18,id,594470344.0,0,1,0,0,"pak sandiaga uno lagi live bareng roy citayam, dia yang dukung kominfo buat blokir paypal dan steam, sebagai menparekraf yang katanya dukung industri kreatif harus nya jangan biarin pemblokiran terjadi, mari ramaikan live nya beliau, #HASHTAG HTTPURL",neutral,0.6140296459197998
1.553743591075627e+18,"Kementerian Kominfo RI menyatakan bahwa hampir semua penyenggelara sistem elektronik lingkup privat baik lokal maupun asing yang sudah terdaftar di kementerian Kominfo RI, termasuk wasttapp, Instagram, Google dan YouTube.sementara tinggal 6 saja yang masih belum, termasuk Paypal",2022-07-31 14:05:13,1.553743591075627e+18,id,9.800975597367214e+17,1,0,2,0,"kementerian kominfo ri menyatakan bahwa hampir semua penyenggelara sistem elektronik lingkup privat baik lokal maupun asing yang sudah terdaftar di kementerian kominfo ri, termasuk wasttapp, instagram, google dan youtube.sementara tinggal 6 saja yang masih belum, termasuk paypal",neutral,0.9773420691490173
1.553728959442932e+18,"Waktu Whatsapp, FB dan Instagram belum mendaftarkan PSE nya, saya mendukung dan mendesak Kominfo untuk memblokir aplikasi2 tsb. Walaupun saya pengguna aplikasi tsb dan pasti saya dirugikan, tapi itu bukan alasan untuk membiarkan mereka melecehkan aturan negara ini. @ernestprakasa",2022-07-31 13:07:05,1.553728959442932e+18,id,1.447610310529982e+18,8,7,50,0,"waktu whatsapp, fb dan instagram belum mendaftarkan pse nya, saya mendukung dan mendesak kominfo untuk memblokir aplikasi2 tsb. walaupun saya pengguna aplikasi tsb dan pasti saya dirugikan, tapi itu bukan alasan untuk membiarkan mereka melecehkan aturan negara ini. @USER",negative,0.9937823414802551
1.553722224921743e+18,"Yang berani geser sampe slide terakhir, keren banget Fiks !

#BlokirKominfo #diskusi #fdmbrw #kominfo #blokir #kominfo #kemenkominfo https://t.co/B5XXBLUGGd https://t.co/PjTfaGa9Dv",2022-07-31 12:40:19,1.553722224921743e+18,id,1.52429284432821e+18,0,0,1,0,"yang berani geser sampe slide terakhir, keren banget fiks ! #HASHTAG #HASHTAG #HASHTAG #HASHTAG #HASHTAG #HASHTAG #HASHTAG HTTPURL HTTPURL",positive,0.9519665241241455
1.553715964155294e+18,seru nih investigasi yang model gini.. #kominfo kudu harus beberes lagi https://t.co/PMrBm3Kaue,2022-07-31 12:15:27,1.553715964155294e+18,id,188885120.0,0,0,0,0,seru nih investigasi yang model gini.. #HASHTAG kudu harus beberes lagi HTTPURL,negative,0.8374830484390259
1.553714973045469e+18,"Yesterday, I've noticed all social media users like instagram, twitter and youtube complained Kominfo's policy. First story is about my friend that have noticed his game in steam was lost and no longer can accessed on his computer.",2022-07-31 12:11:30,1.5537102456412e+18,en,1.463773286769201e+18,0,1,0,0,"yesterday, i've noticed all social media users like instagram, twitter and youtube complained kominfo's policy. first story is about my friend that have noticed his game in steam was lost and no longer can accessed on his computer.",neutral,0.761735737323761
