id,lang,text,author_id,conversation_id,created_at,retweet_count,reply_count,like_count,quote_count,clean_text,sentiment_label,sentiment_score
1.552333722309239e+18,id,"daftar pse kominfo, bisa baca chat wa dan pesan gmail? yaallah pak gabut amad bacain wa an rakyatnya berjuta juta umat, takut amad di selingkuhin cuaks",1.258021027730223e+18,1.552333722309239e+18,2022-07-27 16:42:55,0,1,2,0,"daftar pse kominfo, bisa baca chat wa dan pesan gmail? yaallah pak gabut amad bacain wa an rakyatnya berjuta juta umat, takut amad di selingkuhin cuaks",negative,0.9965807795524597
1.552331144259314e+18,tl,"heheee

https://t.co/Yes8djrplX",475415262.0,1.552331144259314e+18,2022-07-27 16:32:40,0,0,0,0,heheee HTTPURL,positive,0.6286056637763977
1.552320700441977e+18,id,"@Ariza_Agung Web untung tipis dimintain pajak lagi karena ada yang dijual like damn, rakus amat Kominfo. Jadi, jika mau berlakukan PSE ini dulu, mending perkuat Intel kita, Intel kita aja datanya dijual si forum haha. Perkuat juga basis data kita. Ketimbang 1 T untuk aturan persulit warganya",1.275056072730935e+18,1.552298547596653e+18,2022-07-27 15:51:10,0,1,1,0,"@USER web untung tipis dimintain pajak lagi karena ada yang dijual like damn, rakus amat kominfo. jadi, jika mau berlakukan pse ini dulu, mending perkuat intel kita, intel kita aja datanya dijual si forum haha. perkuat juga basis data kita. ketimbang 1 t untuk aturan persulit warganya",negative,0.9950745701789856
1.552311058630844e+18,id,"Perusahaan yang Tak Daftar PSE Kominfo akan Alami Kerugian Ini

Kominfo sebelumnya telah mengeluarkan pernyataan dengan menyebut sanksi dilakukan bertahap, mulai dari teguran, denda administrasi, lalu pemblokiran.
@PlateJohnny
@kemkominfo
https://t.co/tt4JwipvWq",2352745627.0,1.552311058630844e+18,2022-07-27 15:12:51,0,0,0,0,"perusahaan yang tak daftar pse kominfo akan alami kerugian ini kominfo sebelumnya telah mengeluarkan pernyataan dengan menyebut sanksi dilakukan bertahap, mulai dari teguran, denda administrasi, lalu pemblokiran. @USER @USER HTTPURL",neutral,0.7336205244064331
1.552310466550321e+18,id,"Patuhi Kebijakan Kominfo, Alibaba Cloud Daftar PSE

Country Manager of Alibaba Cloud Indonesia Leon Chen menganggap  regulasi pendaftaran  PSE lingkup privat dari Kementerian Kominfo harus ditaati
@PlateJohnny
@kemkominfo
https://t.co/D2EKYvhGGm",2352745627.0,1.552310466550321e+18,2022-07-27 15:10:30,0,0,1,0,"patuhi kebijakan kominfo, alibaba cloud daftar pse country manager of alibaba cloud indonesia leon chen menganggap regulasi pendaftaran pse lingkup privat dari kementerian kominfo harus ditaati @USER @USER HTTPURL",neutral,0.994469404220581
1.552308830234587e+18,en,"PSE Kominfo use unpkg.
unpkg is powered by Cloudflare.
Cloudflare is blocked on PSE. https://t.co/oHDlu1KEY5",1.302523699585716e+18,1.552308830234587e+18,2022-07-27 15:04:00,2,4,25,2,pse kominfo use unpkg. unpkg is powered by cloudflare. cloudflare is blocked on pse. HTTPURL,neutral,0.8766833543777466
1.55229964470075e+18,id,"kalau dari traffic pengguna sebanyak itu, tapi nilai pendapatannya larinya keluar negeri, menurut gue sangat disayangkan. nilai impor kita besar sekali jikalau harus ditransfer devisa dengan harga USD yang sempat tembus 15rb. Thats why kenapa kominfo menghimbau pendaftaran PSE. https://t.co/22k60HTLlh",1405488812.0,1.552298547596653e+18,2022-07-27 14:27:30,0,1,0,0,"kalau dari traffic pengguna sebanyak itu, tapi nilai pendapatannya larinya keluar negeri, menurut gue sangat disayangkan. nilai impor kita besar sekali jikalau harus ditransfer devisa dengan harga usd yang sempat tembus 15rb. thats why kenapa kominfo menghimbau pendaftaran pse. HTTPURL",negative,0.9950969815254211
1.552298598464987e+18,id,tiba-tiba kepikiran aturan baru kominfo yang pse itulah ga ngerti juga yang katanya bisaa liat chat whatsapp kita😭,1.043137411075559e+18,1.552297315196879e+18,2022-07-27 14:23:20,0,0,2,0,tiba-tiba kepikiran aturan baru kominfo yang pse itulah ga ngerti juga yang katanya bisaa liat chat whatsapp kita:loudly_crying_face:,negative,0.9651332497596741
1.552298547596653e+18,id,"*Kominfo mau block pihak pihak yang tidak terdaftar PSE - internet*

""bayar pajak banyak buat apa?""
""nge-block nanti kita komunikasi pake apa?""
""hasil anak bangsa mana? ga ada yang jadi juga""

Percuma bayar pajak..tapi gue rasa ga gitu cara mikirnya. gue kasih cara pandang lain:",1405488812.0,1.552298547596653e+18,2022-07-27 14:23:08,1,1,4,0,"*kominfo mau block pihak pihak yang tidak terdaftar pse - internet* ""bayar pajak banyak buat apa?"" ""nge-block nanti kita komunikasi pake apa?"" ""hasil anak bangsa mana? ga ada yang jadi juga"" percuma bayar pajak..tapi gue rasa ga gitu cara mikirnya. gue kasih cara pandang lain:",negative,0.9891391396522522
1.552296490424742e+18,id,Bila Meta mengikuti aturan kominfo soal PSE https://t.co/beczaNIqJC,249544585.0,1.552296490424742e+18,2022-07-27 14:14:58,0,0,1,0,bila meta mengikuti aturan kominfo soal pse HTTPURL,neutral,0.9972741007804871
1.552296470052684e+18,id,"""Ada masukan sebagai jalan tengah, permintaan membuka informasi untuk keperluan penyelidikan tersebut harus lewat pengadilan,"" ujarnya.

Bacanya yang lengkap ya:) https://t.co/mzthZxjuHG https://t.co/QnXLhsKAnK",598448515.0,1.552296470052684e+18,2022-07-27 14:14:53,0,0,0,0,"""ada masukan sebagai jalan tengah, permintaan membuka informasi untuk keperluan penyelidikan tersebut harus lewat pengadilan,"" ujarnya. bacanya yang lengkap ya:) HTTPURL HTTPURL",neutral,0.8291956782341003
1.552296044817691e+18,id,"Kominfo Disebut Bisa Intip Obrolan WhatsApp-Gmail Lewat Aturan PSE

https://t.co/YKgjDZ5tzH",1168746690.0,1.552296044817691e+18,2022-07-27 14:13:12,8,3,14,0,kominfo disebut bisa intip obrolan whatsapp-gmail lewat aturan pse HTTPURL,neutral,0.9969370365142822
1.552294839311823e+18,id,"Daripada kena denda dan tdk bisa beroperasi, mending sgra daftar PSE.

@kemkominfo
@PlateJohnny

https://t.co/MFdTvFYPne",1.042822530279473e+18,1.552294839311823e+18,2022-07-27 14:08:24,2,0,1,0,"daripada kena denda dan tdk bisa beroperasi, mending sgra daftar pse. @USER @USER HTTPURL",neutral,0.5716201066970825
1.55229336398619e+18,id,"Kominfo disebut bisa intip obrolan di WhatsApp dan Gmail berdasarkan aturan Permenkominfo Nomor 5 Tahun 2020 tentang PSE Lingkup Privat. Hal itu diungkap pakar keamanan siber dari CISSReC, Pratama Persadha. https://t.co/Ol1toyFauu",69183155.0,1.55229336398619e+18,2022-07-27 14:02:32,67,61,101,30,"kominfo disebut bisa intip obrolan di whatsapp dan gmail berdasarkan aturan permenkominfo nomor 5 tahun 2020 tentang pse lingkup privat. hal itu diungkap pakar keamanan siber dari cissrec, pratama persadha. HTTPURL",neutral,0.993317723274231
1.552287441570365e+18,id,Who knows suatu saat nanti omonganku tentang PSE asing bakalan daftar setelah deadline benar adanya pada esok hari (Pemblokirannya bersifat sementara seperti yang dikatakan Kominfo).,1.427315844262994e+18,1.549772625702187e+18,2022-07-27 13:39:00,0,1,0,0,who knows suatu saat nanti omonganku tentang pse asing bakalan daftar setelah deadline benar adanya pada esok hari (pemblokirannya bersifat sementara seperti yang dikatakan kominfo).,negative,0.7445593476295471
1.552286679674733e+18,id,"sepertinya aturan PSE perlu direvisi nih, atau kominfo sengaja memanfaatkan kultur orang Indonesia yang 'bodo amat' soal data 😂 https://t.co/VPmiSxWqHl",1.547514504124064e+18,1.552286679674733e+18,2022-07-27 13:35:59,0,0,0,0,"sepertinya aturan pse perlu direvisi nih, atau kominfo sengaja memanfaatkan kultur orang indonesia yang 'bodo amat' soal data :face_with_tears_of_joy: HTTPURL",negative,0.6750568151473999
1.552285220464128e+18,id,"kita lihat besok, apa berani blokir aplikasi/situs yg belum daftar PSE ke Kominfo gak... wkwkwkwk... https://t.co/W4K3tpPfsn",67281504.0,1.552285220464128e+18,2022-07-27 13:30:11,1,1,1,0,"kita lihat besok, apa berani blokir aplikasi/situs yg belum daftar pse ke kominfo gak... wkwkwkwk... HTTPURL",negative,0.9840736389160156
