id,lang,author_id,created_at,conversation_id,text,retweet_count,reply_count,like_count,quote_count,clean_text,sentiment_label,sentiment_score
1.553058635626222e+18,id,151539457,2022-07-29 16:43:27,1.553058635626222e+18,"hah? yakin? itu aja PSE kominfo pagu 950miliar aja udah pada ribut aktivis bijital yang kagak kecipratan. brin baru dapet duit aja langsung naik tagar yang jelek2in brin, yakin lo pemerintah punya duit? :)) https://t.co/sHVoay4gwJ",1,0,6,0,"hah? yakin? itu aja pse kominfo pagu 950miliar aja udah pada ribut aktivis bijital yang kagak kecipratan. brin baru dapet duit aja langsung naik tagar yang jelek2in brin, yakin lo pemerintah punya duit? :)) HTTPURL",negative,0.9948208332061768
1.553044965894173e+18,id,67281504,2022-07-29 15:49:08,1.553044965894173e+18,"ini situs pse.kominfo.go,id tengah malam kok njepat ini kenapa ya?

memblokir diri sendiri?",0,1,3,0,"ini situs pse.kominfo.go,id tengah malam kok njepat ini kenapa ya? memblokir diri sendiri?",negative,0.9891787767410278
1.553040806109655e+18,id,830407698,2022-07-29 15:32:36,1.553040806109655e+18,"Bangga ya bisa ngintipin. 
Awas loch bintitan😁😁😁😁

https://t.co/Sd41pDmUPz",1,0,3,0,bangga ya bisa ngintipin. awas loch bintitan:beaming_face_with_smiling_eyes::beaming_face_with_smiling_eyes::beaming_face_with_smiling_eyes: HTTPURL,negative,0.49956849217414856
1.553040180340474e+18,id,830407698,2022-07-29 15:30:07,1.553040180340474e+18,"Mending ngurusin Yg ngerampok Duit Rakyat lbih manfaat. 
Berarti Rakyat Indonesia ga diberikan hak prifasi donk.
😇😇😇😇😇😇😇😇😇
Rakyat kecil terus jadi sasaran..

https://t.co/8neaozc4t3",2,1,4,0,mending ngurusin yg ngerampok duit rakyat lbih manfaat. berarti rakyat indonesia ga diberikan hak prifasi donk. :smiling_face_with_halo::smiling_face_with_halo::smiling_face_with_halo: rakyat kecil terus jadi sasaran.. HTTPURL,negative,0.9443657994270325
1.553035968118084e+18,id,951313986,2022-07-29 15:13:23,1.553035968118084e+18,"PSE hambat inovasi dan matikan kebebasan berekspresi

https://t.co/aOMx5CEiwu

#pse #kominfo",0,0,3,0,pse hambat inovasi dan matikan kebebasan berekspresi HTTPURL #HASHTAG #HASHTAG,negative,0.9925850033760071
1.55303514496528e+18,id,1369573838007063040,2022-07-29 15:10:07,1.55303514496528e+18,"kalo mrk gak butuh RI tapi WNI yg butuh mrk gmn?
sperti situs gaming,jurnal,trading/exchange,dsb?!
bener2 nyusahin doang nih pencetus ide PSE norak ini!!
lebih orba dari orba!tiran!
@PNS_Ababil @kemkominfo @PerekonomianRI @mohmahfudmd @muhadjir_ef @jokowi 
https://t.co/Yngart9pg3",0,1,0,0,"kalo mrk gak butuh ri tapi wni yg butuh mrk gmn? sperti situs gaming,jurnal,trading/exchange,dsb?! bener2 nyusahin doang nih pencetus ide pse norak ini!! lebih orba dari orba!tiran! @USER @USER @USER @USER @USER @USER HTTPURL",negative,0.9947276711463928
1.553035142578315e+18,id,951313986,2022-07-29 15:10:06,1.553035142578315e+18,"Apa sih aturan Pendaftaran PSE?

https://t.co/P9i126BKv0

#pse #kominfo",0,0,1,0,apa sih aturan pendaftaran pse? HTTPURL #HASHTAG #HASHTAG,neutral,0.9841192364692688
1.553034918992966e+18,id,1274276367803183104,2022-07-29 15:09:13,1.553034039862624e+18,"Oh iya, gimana soal Google dan YouTube? Meskipun ia ga muncul di daftar PSE di laman web kominfo, tapi sebenarnya mereka sudah daftar in a classic way (atau secara manual).

https://t.co/dSUAsaUe6i",1,1,2,0,"oh iya, gimana soal google dan youtube? meskipun ia ga muncul di daftar pse di laman web kominfo, tapi sebenarnya mereka sudah daftar in a classic way (atau secara manual). HTTPURL",neutral,0.7178569436073303
1.55303362734028e+18,id,1369573838007063040,2022-07-29 15:04:05,1.55303362734028e+18,"nyusahin rakyat..Cuma sebatas inikah hasil pienice tubel ke LN??
bener2 mubazir!pemborosan!

@PNS_Ababil @LPDP_RI @PerekonomianRI @PolhukamRI @Kemhan_RI @kemenkopmk @prastow @bpkri @KPK_RI  
https://t.co/KjaO6dK2Q4",0,0,0,0,nyusahin rakyat..cuma sebatas inikah hasil pienice tubel ke ln?? bener2 mubazir!pemborosan! @USER @USER @USER @USER @USER @USER @USER @USER @USER HTTPURL,negative,0.9971838593482971
1.553031735075832e+18,id,1371566356093488896,2022-07-29 14:56:34,1.553031735075832e+18,"Banyak pihak yang mengatakan pemerintah dapat mengintip pesan dari pengguna aplikasi media sosial baik itu WhatsApp maupun Gmail. Dugaan ini dilontarkan oleh pakar keamanan siber dari CISSReC, Pratama Persadha.
@kemkominfo
@PlateJohnny
https://t.co/h7shtc1aiq",0,0,0,0,"banyak pihak yang mengatakan pemerintah dapat mengintip pesan dari pengguna aplikasi media sosial baik itu whatsapp maupun gmail. dugaan ini dilontarkan oleh pakar keamanan siber dari cissrec, pratama persadha. @USER @USER HTTPURL",neutral,0.9559365510940552
