id,lang,text,created_at,author_id,conversation_id,retweet_count,reply_count,like_count,quote_count,clean_text,sentiment_label,sentiment_score
1.553057771503124e+18,id,lagi nunggu beneran diban ga steam sama kominfo,2022-07-29 16:40:01,608795220,1.553057771503124e+18,0,1,0,0,lagi nunggu beneran diban ga steam sama kominfo,neutral,0.9467885494232178
1.55305573870012e+18,id,Ini beneran Steam di blokir sama Kominfo. Hahaha lucu banget.,2022-07-29 16:31:57,96718385,1.55305573870012e+18,0,1,0,0,ini beneran steam di blokir sama kominfo. hahaha lucu banget.,negative,0.9166293740272522
1.553043201438917e+18,id,"udah gila

https://t.co/00K6h31nbX",2022-07-29 15:42:08,1273169992083738880,1.553043201438917e+18,0,4,0,0,udah gila HTTPURL,negative,0.9870738983154297
1.553038661985661e+18,id,"@amuridee @Steam @EpicGames @riotgames @Twitch @kemkominfo Gw ga yakin kominfo secanggih itu juga sih, bisa blokirin semua yang ga terdaftar, itu banyak bet loh 😌",2022-07-29 15:24:05,485552120,1.552835435730436e+18,1,1,1,0,"@USER @USER @USER @USER @USER @USER gw ga yakin kominfo secanggih itu juga sih, bisa blokirin semua yang ga terdaftar, itu banyak bet loh :relieved_face:",negative,0.9604554176330566
1.55303362734028e+18,id,"nyusahin rakyat..Cuma sebatas inikah hasil pienice tubel ke LN??
bener2 mubazir!pemborosan!

@PNS_Ababil @LPDP_RI @PerekonomianRI @PolhukamRI @Kemhan_RI @kemenkopmk @prastow @bpkri @KPK_RI  
https://t.co/KjaO6dK2Q4",2022-07-29 15:04:05,1369573838007063040,1.55303362734028e+18,0,0,0,0,nyusahin rakyat..cuma sebatas inikah hasil pienice tubel ke ln?? bener2 mubazir!pemborosan! @USER @USER @USER @USER @USER @USER @USER @USER @USER HTTPURL,negative,0.9971838593482971
1.553027437315117e+18,id,@amuridee @Steam @EpicGames @riotgames @Twitch @kemkominfo Njaluk eker temen boomer kominfo iki,2022-07-29 14:39:29,1906196906,1.552835435730436e+18,1,0,1,0,@USER @USER @USER @USER @USER @USER njaluk eker temen boomer kominfo iki,negative,0.9951854348182678
1.55301888072106e+18,id,"@amuridee @Steam @EpicGames @riotgames @Twitch @kemkominfo Lek steam di blokir ambek kominfo, yopo nasib e kantusha ku cuk?????? @adel_todel",2022-07-29 14:05:29,412196500,1.552835435730436e+18,1,1,1,0,"@USER @USER @USER @USER @USER @USER lek steam di blokir ambek kominfo, yopo nasib e kantusha ku cuk?????? @USER",negative,0.9857220649719238
1.553018389555479e+18,id,@amuridee @Steam @EpicGames @riotgames @Twitch @kemkominfo Kominfo: https://t.co/C5DltKTRK9,2022-07-29 14:03:32,69561545,1.552835435730436e+18,1,0,3,0,@USER @USER @USER @USER @USER @USER kominfo: HTTPURL,neutral,0.9734534025192261
1.553017755502186e+18,id,"Gosip Terkini: 10 PSE Terancam Diblokir Kominfo, Ada Dota, Steam,... https://t.co/SPUV1Z9Zga 
#exabet88 #ViralVideo #viralscandal #viralTiktok #viralmesum #ViralVideos #viraltwitter #viralbokep #viralindonesia #FYP #fyptt #fypシ #fyptiktokindo #fypage https://t.co/1QuDlTnELG",2022-07-29 14:01:01,1502514072411013120,1.553017755502186e+18,0,0,0,0,"gosip terkini: 10 pse terancam diblokir kominfo, ada dota, steam,... HTTPURL #HASHTAG #HASHTAG #HASHTAG #HASHTAG #HASHTAG #HASHTAG #HASHTAG #HASHTAG #HASHTAG #HASHTAG #HASHTAG #HASHTAG #HASHTAG #HASHTAG HTTPURL",neutral,0.9811262488365173
1.553013822209741e+18,id,"Pada Kamis (28/7) pukul 07.35 WIB, Roblox dan Opera sudah terlihat dalam daftar di laman https://t.co/P7auYdzeQM. Hingga saat ini, tercatat 8.572 PSE domestik dan 231 PSE Asing sudah mendaftar.
@kemkominfo @PlateJohnny @jokowi
https://t.co/8mJR5wp67U",2022-07-29 13:45:23,1092638848872440064,1.553013822209741e+18,0,0,1,0,"pada kamis (28/7) pukul 07.35 wib, roblox dan opera sudah terlihat dalam daftar di laman HTTPURL hingga saat ini, tercatat 8.572 pse domestik dan 231 pse asing sudah mendaftar. @USER @USER @USER HTTPURL",neutral,0.9941547513008118
1.553012665140003e+18,id,"@JamaahJumat @amuridee @Steam @EpicGames @riotgames @Twitch @kemkominfo @hamkyk org kominfo kesel soalnya ranknya stuck di iron, makanya di blokir",2022-07-29 13:40:47,1082865203153272960,1.552835435730436e+18,1,0,1,0,"@USER @USER @USER @USER @USER @USER @USER @USER org kominfo kesel soalnya ranknya stuck di iron, makanya di blokir",negative,0.9931628704071045
1.552998937698632e+18,id,Kominfo Bakal Blokir Steam hingga Epic Games Bila Tak Daftar PSE Sampai Tengah Malam https://t.co/j4DI0Gafzx,2022-07-29 12:46:14,3570716532,1.552998937698632e+18,0,0,0,0,kominfo bakal blokir steam hingga epic games bila tak daftar pse sampai tengah malam HTTPURL,neutral,0.9933885335922241
1.552988742897799e+18,id,"Epic Game, Steam, dan Dota Belum Daftar PSE

Pada Kamis (28/7) pukul 07.35 WIB, Roblox &amp; Opera sdh terlihat dalam daftar di laman https://t.co/knx4xShDHS. Hingga saat ini, tercatat 8.572 PSE domestik dan 231 PSE Asing sdh mendaftar
@PlateJohnny
@kemkominfo
https://t.co/1JAwsfW5gN",2022-07-29 12:05:44,2352745627,1.552988742897799e+18,0,0,0,0,"epic game, steam, dan dota belum daftar pse pada kamis (28/7) pukul 07.35 wib, roblox & opera sdh terlihat dalam daftar di laman HTTPURL hingga saat ini, tercatat 8.572 pse domestik dan 231 pse asing sdh mendaftar @USER @USER HTTPURL",neutral,0.9932958483695984
1.552982527236706e+18,id,"10 PSE Terancam Diblokir Kominfo, Termasuk Steam, Epic Games dan Yahoo https://t.co/56aURb9oHW #Pse #SistemElektronik #Kominfo #PseKominfo",2022-07-29 11:41:02,1124517245722349952,1.552982527236706e+18,3,0,0,0,"10 pse terancam diblokir kominfo, termasuk steam, epic games dan yahoo HTTPURL #HASHTAG #HASHTAG #HASHTAG #HASHTAG",neutral,0.9863986372947693
