id,created_at,text,author_id,conversation_id,lang,retweet_count,reply_count,like_count,quote_count,clean_text,sentiment_label,sentiment_score
1.553040806109655e+18,2022-07-29 15:32:36,"Bangga ya bisa ngintipin. 
Awas loch bintitan😁😁😁😁

https://t.co/Sd41pDmUPz",830407698,1.553040806109655e+18,id,1,0,3,0,bangga ya bisa ngintipin. awas loch bintitan:beaming_face_with_smiling_eyes::beaming_face_with_smiling_eyes::beaming_face_with_smiling_eyes: HTTPURL,negative,0.49956849217414856
1.553040180340474e+18,2022-07-29 15:30:07,"Mending ngurusin Yg ngerampok Duit Rakyat lbih manfaat. 
Berarti Rakyat Indonesia ga diberikan hak prifasi donk.
😇😇😇😇😇😇😇😇😇
Rakyat kecil terus jadi sasaran..

https://t.co/8neaozc4t3",830407698,1.553040180340474e+18,id,2,1,4,0,mending ngurusin yg ngerampok duit rakyat lbih manfaat. berarti rakyat indonesia ga diberikan hak prifasi donk. :smiling_face_with_halo::smiling_face_with_halo::smiling_face_with_halo: rakyat kecil terus jadi sasaran.. HTTPURL,negative,0.9443657994270325
1.553031735075832e+18,2022-07-29 14:56:34,"Banyak pihak yang mengatakan pemerintah dapat mengintip pesan dari pengguna aplikasi media sosial baik itu WhatsApp maupun Gmail. Dugaan ini dilontarkan oleh pakar keamanan siber dari CISSReC, Pratama Persadha.
@kemkominfo
@PlateJohnny
https://t.co/h7shtc1aiq",1371566356093488896,1.553031735075832e+18,id,0,0,0,0,"banyak pihak yang mengatakan pemerintah dapat mengintip pesan dari pengguna aplikasi media sosial baik itu whatsapp maupun gmail. dugaan ini dilontarkan oleh pakar keamanan siber dari cissrec, pratama persadha. @USER @USER HTTPURL",neutral,0.9559365510940552
1.553005452379664e+18,2022-07-29 13:12:07,Kominfo Bantah Bisa Intai Percakapan WhatsApp dan Email Melalui PSE: ASKARA - Kementerian Komunikasi dan Informatika membantah kabar jika bisa mengintai percakapan di WhatsApp dan surat elektrinik atau email di domain Gmail melalui aturan Penyelenggara… https://t.co/g5p6usWZ3Z,1229695476552761088,1.553005452379664e+18,id,0,0,0,0,kominfo bantah bisa intai percakapan whatsapp dan email melalui pse: askara - kementerian komunikasi dan informatika membantah kabar jika bisa mengintai percakapan di whatsapp dan surat elektrinik atau email di domain gmail melalui aturan penyelenggara… HTTPURL,neutral,0.9923303723335266
1.552995605529727e+18,2022-07-29 12:33:00,"Kominfo membantah bisa mengintip pesan pribadi yang dikirim lewat aplikasi perpesanan, seperti WhatsApp. * #Tekno

https://t.co/KRyXD7QxiJ",23343960,1.552995605529727e+18,id,1,0,2,0,"kominfo membantah bisa mengintip pesan pribadi yang dikirim lewat aplikasi perpesanan, seperti whatsapp. * #HASHTAG HTTPURL",neutral,0.9592215418815613
1.552992831605805e+18,2022-07-29 12:21:58,Kominfo Selidiki 55 Aplikasi ‘Abal-abal’ Pakai Nama Google &amp; WhatsApp https://t.co/jf0Xb9wPVT,2243116382,1.552992831605805e+18,id,0,0,0,0,kominfo selidiki 55 aplikasi ‘abal-abal’ pakai nama google & whatsapp HTTPURL,neutral,0.880149781703949
1.552990534205309e+18,2022-07-29 12:12:51,"padahal bisa decrypt data enkripsi peer to peer itu keren banget lho..gak jadi keren dong nih @kemkominfo ?
@PNS_Ababil 
https://t.co/JLVvcGZwRd",1369573838007063040,1.552990534205309e+18,id,0,0,0,0,padahal bisa decrypt data enkripsi peer to peer itu keren banget lho..gak jadi keren dong nih @USER ? @USER HTTPURL,positive,0.8750184774398804
1.552989856258744e+18,2022-07-29 12:10:09,"Kominfo menyebutkan bahwa situs pendaftaran PSE untuk Google, WhatsApp hingga Facebook mengalami puluhan juta kali serangan hacker per hari. Apa dampaknya?
 https://t.co/MB1zun44Rk",552523769,1.552989856258744e+18,id,0,0,1,3,"kominfo menyebutkan bahwa situs pendaftaran pse untuk google, whatsapp hingga facebook mengalami puluhan juta kali serangan hacker per hari. apa dampaknya? HTTPURL",neutral,0.7624185681343079
1.552988572650656e+18,2022-07-29 12:05:03,"Jakarta - Aturan pemerintah mengenai PSE kembali ramai diperbincangkan.
#smashnews #beritaterbaru #beritaterkini #beritaterupdate #kabarterbaru #kabarterkini #aturanpemerintah #PSE #kominfo #tuaikritik 
https://t.co/u2K93eydag https://t.co/wK3z0fO9Zm",1473273170681499904,1.552988572650656e+18,id,2,1,2,0,jakarta - aturan pemerintah mengenai pse kembali ramai diperbincangkan. #HASHTAG #HASHTAG #HASHTAG #HASHTAG #HASHTAG #HASHTAG #HASHTAG #HASHTAG #HASHTAG #HASHTAG HTTPURL HTTPURL,neutral,0.990213930606842
1.552985779898528e+18,2022-07-29 11:53:57,https://t.co/IrQ6wlNw2W,1471082246232687104,1.552985779898528e+18,zxx,0,0,3,0,HTTPURL,neutral,0.41922974586486816
1.552983275211457e+18,2022-07-29 11:44:00,"@glngbhgskr Kata Kominfo soal Isu Bisa Lihat Isi Chat WhatsApp lewat Aturan PSE https://t.co/6YeqxSxd8m

Nih udah ada jawabannyaaa",96292509,1.552168460389876e+18,id,0,0,0,0,@USER kata kominfo soal isu bisa lihat isi chat whatsapp lewat aturan pse HTTPURL nih udah ada jawabannyaaa,neutral,0.9940071105957031
1.552981970728018e+18,2022-07-29 11:38:49,Kominfo Klaim Tak Berwenang Akses Konten Whatsapp Lewat Aturan PSE https://t.co/3mjVF2uTf5,17128975,1.552981970728018e+18,id,0,0,4,0,kominfo klaim tak berwenang akses konten whatsapp lewat aturan pse HTTPURL,neutral,0.9955185651779175
1.552977280280007e+18,2022-07-29 11:20:11,"Kominfo menyelidiki 55 Penyelenggara Sistem Elektronik (PSE) yang mendaftar dengan data 'abal-abal', termasuk menggunakan nama Google dan WhatsApp.

 https://t.co/j1XmDnfojS",552523769,1.552977280280007e+18,id,0,0,1,1,"kominfo menyelidiki 55 penyelenggara sistem elektronik (pse) yang mendaftar dengan data 'abal-abal', termasuk menggunakan nama google dan whatsapp. HTTPURL",neutral,0.7694636583328247
1.552972203804828e+18,2022-07-29 11:00:00,"Aturan Permen Kominfo Nomor 5 tahun 2020 tentang PSE Lingkup Privat. 

Baca artikel selengkapnya di https://t.co/tRFvlb3pUy

#SatuViral #SatuBeritaSejutaViral #beritaviral #trendingviral #infoberita #beritaterkini #infoviral #PSE #Whatsapp #Gmail #ZivaMunafik #anaksma https://t.co/lNbyffYjvR",1513816953315418112,1.552972203804828e+18,id,0,0,0,0,aturan permen kominfo nomor 5 tahun 2020 tentang pse lingkup privat. baca artikel selengkapnya di HTTPURL #HASHTAG #HASHTAG #HASHTAG #HASHTAG #HASHTAG #HASHTAG #HASHTAG #HASHTAG #HASHTAG #HASHTAG #HASHTAG #HASHTAG HTTPURL,neutral,0.9916439652442932
1.552967507245408e+18,2022-07-29 10:41:21,Aturan Penyelenggara Sistem Elektronik (PSE) Lingkup Privat disebut membuat pemerintah bisa melihat isi pesan WhatsApp hingga email pengguna. https://t.co/H92gHCyYk5,135815019,1.552967507245408e+18,id,0,0,0,0,aturan penyelenggara sistem elektronik (pse) lingkup privat disebut membuat pemerintah bisa melihat isi pesan whatsapp hingga email pengguna. HTTPURL,neutral,0.9970968961715698
1.552967207617012e+18,2022-07-29 10:40:09,"Kominfo disebut-sebut bisa membuka isi pesan pengguna di WhatsApp maupun Google, berkat aturan wajib daftar PSE. Bagaimana prosedurnya?
 https://t.co/8qpm2rWjBY",552523769,1.552967207617012e+18,id,0,0,2,0,"kominfo disebut-sebut bisa membuka isi pesan pengguna di whatsapp maupun google, berkat aturan wajib daftar pse. bagaimana prosedurnya? HTTPURL",neutral,0.9890918731689453
1.55296347730806e+18,2022-07-29 10:25:20,Orang kominfo bacain whatsapp gue cuma geleng2 doang kali ya,1087322422670372992,1.55296347730806e+18,id,0,0,0,0,orang kominfo bacain whatsapp gue cuma geleng2 doang kali ya,negative,0.9957559704780579
1.552961579724972e+18,2022-07-29 10:17:47,Kominfo Bantah Bisa Lihat Isi Pesan di WhatsApp dan Google https://t.co/WdD63kG9rn,2243116382,1.552961579724972e+18,id,0,0,0,0,kominfo bantah bisa lihat isi pesan di whatsapp dan google HTTPURL,neutral,0.9892138838768005
1.552961498208928e+18,2022-07-29 10:17:28,"Dikabarkan pemerintah dapat meminta dan menampilkan informasi atau pesan WhatsApp dan Gmail yang diperlukan untuk kepentingan penyidikan.

Hmm..kalau begitu, setiap ada kabar baik di WhatsApp, Kominfo juga ikut merayakan nihh??🤔😂😂

#adityafm #afternoonshow #radiopekanbaru https://t.co/mXJmCOjnRx",282004063,1.552961498208928e+18,id,0,0,1,0,"dikabarkan pemerintah dapat meminta dan menampilkan informasi atau pesan whatsapp dan gmail yang diperlukan untuk kepentingan penyidikan. hmm..kalau begitu, setiap ada kabar baik di whatsapp, kominfo juga ikut merayakan nihh??:thinking_face::face_with_tears_of_joy::face_with_tears_of_joy: #HASHTAG #HASHTAG #HASHTAG HTTPURL",neutral,0.8937943577766418
1.552960710225072e+18,2022-07-29 10:14:20,"Lewat Aturan PSE, Kominfo Bisa Intip Percakapan Whatsapp dan Gmail https://t.co/CLwrO97sJU",980097559736721408,1.552960710225072e+18,id,0,0,0,0,"lewat aturan pse, kominfo bisa intip percakapan whatsapp dan gmail HTTPURL",neutral,0.9970867037773132
1.552960521196179e+18,2022-07-29 10:13:35,https://t.co/C4ttkPAsxC,980097559736721408,1.552960521196179e+18,zxx,1,0,1,0,HTTPURL,neutral,0.41922974586486816
1.552953340685734e+18,2022-07-29 09:45:03,Benarkah Kominfo Bisa Ngintip Percakapan di WhatsApp Setelah Pemberlakuan PSE? https://t.co/tncuwnsQQ9,788744100,1.552953340685734e+18,id,0,0,0,0,benarkah kominfo bisa ngintip percakapan di whatsapp setelah pemberlakuan pse? HTTPURL,neutral,0.9930526614189148
1.552949305903706e+18,2022-07-29 09:29:01,"@ridwan_nurihsan @ainanstagram iya, berdasarkan artikel ini beberapa hari lalu, ka. tapi kayaknya udah disanggah sama mereka, karena tetep ada landasan hukumnya dulu klo mau 'ngintip'. cmiiw
https://t.co/DcvQHILYiy",967734334458232832,1.552796364228112e+18,id,0,0,0,0,"@USER @USER iya, berdasarkan artikel ini beberapa hari lalu, ka. tapi kayaknya udah disanggah sama mereka, karena tetep ada landasan hukumnya dulu klo mau 'ngintip'. cmiiw HTTPURL",negative,0.5877255797386169
1.552940811306037e+18,2022-07-29 08:55:16,"Bahaya Euy..

Kominfo Disebut Bisa Intip Percakapan Whatsapp-Gmail Lewat Aturan PSE | 
Sore Jokowi Cebong Apeng Sumeru Kopda Muslimin PBNU Dunia Tip-tipu LPDP #PresidenTukangNgibul #BrigadirYosua #KeadilanTebangPilih #kesalahanwawancara #CopotJugaFadil https://t.co/L49iHOska3",1493556582604751104,1.552940811306037e+18,id,0,0,1,0,bahaya euy.. kominfo disebut bisa intip percakapan whatsapp-gmail lewat aturan pse | sore jokowi cebong apeng sumeru kopda muslimin pbnu dunia tip-tipu lpdp #HASHTAG #HASHTAG #HASHTAG #HASHTAG #HASHTAG HTTPURL,negative,0.9464545249938965
1.552940464277684e+18,2022-07-29 08:53:53,Kominfo Bantah Bisa Intip WhatsApp dan Email Lewat PSE https://t.co/3SwuynR16T,17128975,1.552940464277684e+18,id,0,1,3,1,kominfo bantah bisa intip whatsapp dan email lewat pse HTTPURL,neutral,0.9969789981842041
1.552936979075322e+18,2022-07-29 08:40:02,Kominfo Bantah Pemerintah Bisa Intip Chat WhatsApp dan E-mail lewat Aturan PSE https://t.co/BGz02JZDCM,74501380,1.552936979075322e+18,id,0,0,0,0,kominfo bantah pemerintah bisa intip chat whatsapp dan e-mail lewat aturan pse HTTPURL,neutral,0.9967393279075623
1.552935367523054e+18,2022-07-29 08:33:38,whatsapp centang 1 tapi online ini staff kominfo gabut atau gimana sih anjing🙏🙏,1093034205062156032,1.552935367523054e+18,id,0,0,1,0,whatsapp centang 1 tapi online ini staff kominfo gabut atau gimana sih anjing:folded_hands::folded_hands:,negative,0.9777958989143372
1.552934633578299e+18,2022-07-29 08:30:43,Aturan Penyelenggara Sistem Elektronik (PSE) Lingkup Privat disebut membuat pemerintah bisa melihat isi pesan WhatsApp hingga email pengguna. https://t.co/zZIIei9z6Z,135815019,1.552934633578299e+18,id,0,0,0,0,aturan penyelenggara sistem elektronik (pse) lingkup privat disebut membuat pemerintah bisa melihat isi pesan whatsapp hingga email pengguna. HTTPURL,neutral,0.9970968961715698
1.552934242295874e+18,2022-07-29 08:29:10,Aturan Penyelenggara Sistem Elektronik (PSE) Lingkup Privat disebut membuat pemerintah bisa melihat isi pesan WhatsApp hingga email pengguna. https://t.co/ju2Eip3ZDg,69183155,1.552934242295874e+18,id,0,0,1,0,aturan penyelenggara sistem elektronik (pse) lingkup privat disebut membuat pemerintah bisa melihat isi pesan whatsapp hingga email pengguna. HTTPURL,neutral,0.9970968961715698
