id,conversation_id,lang,author_id,text,created_at,retweet_count,reply_count,like_count,quote_count,clean_text,sentiment_label,sentiment_score
1.55342483836647e+18,1.5533803036073e+18,id,1.552692909639614e+18,"@KemoTherapy0 @secgron Kominfo belum dapat akses chat WhatsApp aja udah main doxing gini, apalagi ntar kalau udah berlaku sepenuhnya aturan PSE? Ujung-ujungnya nanti bakal dimanfaatkan buat Pemilu 2024, mengingat jumlah pemuda mendominasi di 2024 nanti.",2022-07-30 16:58:37,24,1,81,0,"@USER @USER kominfo belum dapat akses chat whatsapp aja udah main doxing gini, apalagi ntar kalau udah berlaku sepenuhnya aturan pse? ujung-ujungnya nanti bakal dimanfaatkan buat pemilu 2024, mengingat jumlah pemuda mendominasi di 2024 nanti.",negative,0.9439839720726013
1.553415757173703e+18,1.553238064851325e+18,id,1.503651785155645e+18,@txtdrberseragam Belom lagi chat whatsapp bisa di baca oleh kominfo apakah seperti itu pantas ?,2022-07-30 16:22:32,0,0,1,0,@USER belom lagi chat whatsapp bisa di baca oleh kominfo apakah seperti itu pantas ?,negative,0.8779338598251343
1.553415618103489e+18,1.553412483443937e+18,id,1.394793180000776e+18,"@RajaIndonesia2 vcs promo sam Lina ya masuk grup live telegram wa vcs hijab promo sama Lina malam ini ya yuk RETWEET &amp; cek wa DM atau telegram 081368859264

https://t.co/e1EeG7svnR
#vcs
#SANGE_AAAAAAAAAAH  
#malming
#kominfo     
#PersibDay #PERAWAN 
Tele live vcs masuk 
https://t.co/Rdhq4UPAeH",2022-07-30 16:21:59,0,0,0,0,@USER vcs promo sam lina ya masuk grup live telegram wa vcs hijab promo sama lina malam ini ya yuk retweet & cek wa dm atau telegram 081368859264 HTTPURL #HASHTAG #HASHTAG #HASHTAG #HASHTAG #HASHTAG #HASHTAG tele live vcs masuk HTTPURL,neutral,0.9892187714576721
1.553409669343105e+18,1.553297256564281e+18,id,3029596450.0,@JeromePolin Tupoksi kominfo terhitung hari ini cuma buat ngawasi obrolan whatsApp,2022-07-30 15:58:20,0,0,0,0,@USER tupoksi kominfo terhitung hari ini cuma buat ngawasi obrolan whatsapp,neutral,0.5036407709121704
1.553408693827674e+18,1.553408693827674e+18,id,1.423102248356246e+18,"nah gais jangan mau dibodohin media. whatsapp aja gabisa baca chat usernya, kalo kominfo bisa baca ya whatsapp udah menuntut kominfo kali. lagi juga gabut banget kominfo bacain chat lo kek penting aja isi chatnya. mendingan liat isi chat oposisi, lebih berguna. pakai akalnya🙏🏼 https://t.co/eUZiCVlD2H https://t.co/JKN2lFHjMX",2022-07-30 15:54:28,0,1,1,0,"nah gais jangan mau dibodohin media. whatsapp aja gabisa baca chat usernya, kalo kominfo bisa baca ya whatsapp udah menuntut kominfo kali. lagi juga gabut banget kominfo bacain chat lo kek penting aja isi chatnya. mendingan liat isi chat oposisi, lebih berguna. pakai akalnya:folded_hands_medium-light_skin_tone: HTTPURL HTTPURL",negative,0.9185284376144409
1.553403404051173e+18,1.553403404051173e+18,id,509946051.0,"PSE Kominfo, Mengapa ingin Blokir Facebook, WhatsApp hingga Google? Ini Jawabannya https://t.co/Bc99xBft03",2022-07-30 15:33:27,0,0,0,0,"pse kominfo, mengapa ingin blokir facebook, whatsapp hingga google? ini jawabannya HTTPURL",neutral,0.9905416369438171
1.553403181954044e+18,1.553403181954044e+18,id,873242628.0,"Fungsi PSE https://t.co/jJck9DZIX6

Vs

Realisasi tanpa kurasi

Awokwokwokwok 🙈 https://t.co/a0uq9nr76g",2022-07-30 15:32:34,0,0,1,0,fungsi pse HTTPURL vs realisasi tanpa kurasi awokwokwokwok :see-no-evil_monkey: HTTPURL,neutral,0.967394232749939
1.553399282144649e+18,1.553399282144649e+18,id,371261655.0,"🚩🚩🚩🚩🚩

""Ini gue dapet cerita dari temen di kominfo..""
""Guys, ada klarifikasi dari temen di kominfo via whatsapp..""
""Gue bukannya mau belain kominfo, ya, tapi..""",2022-07-30 15:17:04,244,6,827,10,":triangular_flag::triangular_flag::triangular_flag: ""ini gue dapet cerita dari temen di kominfo.."" ""guys, ada klarifikasi dari temen di kominfo via whatsapp.."" ""gue bukannya mau belain kominfo, ya, tapi..""",negative,0.8476107120513916
1.553397223378993e+18,1.553397223378993e+18,zxx,1.391252652852277e+18,https://t.co/uFRwoHRnDO,2022-07-30 15:08:53,0,0,0,1,HTTPURL,neutral,0.41922974586486816
1.553392072937202e+18,1.553392072937202e+18,id,23343960.0,"Kominfo membantah bisa mengintip pesan pribadi yang dikirim lewat WhatsApp, Telegram, atau e-mail, dan sebagainya apabila platform digital telah terdaftar sebagai PSE. / #Kominfo #PlatformDigital #PSELingkupPrivat #JernihkanHarapan 

Baca di https://t.co/DJ7Xiw6IBe https://t.co/FE9awFd3Hl",2022-07-30 14:48:25,7,6,20,1,"kominfo membantah bisa mengintip pesan pribadi yang dikirim lewat whatsapp, telegram, atau e-mail, dan sebagainya apabila platform digital telah terdaftar sebagai pse. / #HASHTAG #HASHTAG #HASHTAG #HASHTAG baca di HTTPURL HTTPURL",neutral,0.9530931115150452
1.553388748653531e+18,1.553388748653531e+18,id,1.515295242907693e+18,"Info Pola Gacor &amp; Link Slot Gacor Hari Ini
30 Juli 2022

Link 1 : https://t.co/z5Bw2geDIa
Link 2 : https://t.co/fJoZtfJKmz

Zeus lagi kurang gacor semenjak isu Kominfo 👉👈

📞 Whatsapp https://t.co/ncBL25fNYK https://t.co/VsR0f0Ju0l",2022-07-30 14:35:12,1,1,0,1,info pola gacor & link slot gacor hari ini 30 juli 2022 link 1 : HTTPURL link 2 : HTTPURL zeus lagi kurang gacor semenjak isu kominfo :backhand_index_pointing_right::backhand_index_pointing_left: :telephone_receiver: whatsapp HTTPURL HTTPURL,neutral,0.8952072858810425
1.553384821405061e+18,1.553271147520635e+18,id,1.20352696586242e+18,"@decikot yang penting bisa WhatsApp. gapenting Microsoft. apansi, Microsoft. aplikasi working biasa doang. alih-alih mah, Kominfo bisa buat yang lebih efisien.",2022-07-30 14:19:36,0,0,0,0,"@USER yang penting bisa whatsapp. gapenting microsoft. apansi, microsoft. aplikasi working biasa doang. alih-alih mah, kominfo bisa buat yang lebih efisien.",positive,0.6570062041282654
1.553381420357206e+18,1.553381420357206e+18,en,37196309.0,Can kominfo just stop banning everything and start banning whatsapp chain messages? The misinformation is getting dumber and dumber by the day 😭,2022-07-30 14:06:05,0,0,0,0,can kominfo just stop banning everything and start banning whatsapp chain messages? the misinformation is getting dumber and dumber by the day :loudly_crying_face:,negative,0.9545071721076965
1.553380431059649e+18,1.553380431059649e+18,id,1.158070826769375e+18,kalo whatsapp di sadap kominfo ntar ktauan dong yaa 🫣,2022-07-30 14:02:09,0,2,1,0,kalo whatsapp di sadap kominfo ntar ktauan dong yaa :face_with_peeking_eye:,neutral,0.9580673575401306
1.553380317679223e+18,1.553131099043164e+18,id,1.234840556682924e+18,@txtdrpemerintah hidup slot slot ngentod .. kominfo kakean nguntal whatsapp mba mba admin slot...,2022-07-30 14:01:42,0,0,0,0,@USER hidup slot slot ngentod .. kominfo kakean nguntal whatsapp mba mba admin slot...,negative,0.92760169506073
1.553376869839696e+18,1.553376869839696e+18,id,1.287081099613491e+18,"Aturan PSE, Kominfo Bantah Intip Percakapan WhatsApp dan Gmail 

#BlokirKominfo https://t.co/vl0RxRiYCJ",2022-07-30 13:48:00,0,0,0,0,"aturan pse, kominfo bantah intip percakapan whatsapp dan gmail #HASHTAG HTTPURL",neutral,0.9975951313972473
