id,lang,text,created_at,author_id,conversation_id,retweet_count,reply_count,like_count,quote_count,en_text,polarity,subjectivity
1.552313125588074e+18,id,"Sudah lebih dari 500 pendukung petisi ini.

Namun belum ada waktunya menyerah, bantu kami untuk teken petisi ini & Sebarkan dan Viralkan!

https://t.co/kDCcKWW2Po

#BlokirKominfo #ProtesNetizen 
#PSEmelanggarHAM #PSEBerbauKomunis https://t.co/zByv2UKKTS",2022-07-27 15:21:04,706776804,1.552313125588074e+18,1,0,2,0,"More than 500 supporters of this petition.

But there is no time to give up, help us to sign this petition & spread and viral!

https://t.co/kdckww2po

#Blokirkominfo #Protesnetizen
#PSemelanggarham #PSeberbaukomunis https://t.co/zbyv2ukkts",0.625,0.5
1.552271244917371e+18,id,"Menguntit Obrolan lain adalah mengganggu privasi orang lain.

#BlokirKominfo #ProtesNetizen 
#PSEmelanggarHAM #PSEBerbauKomunis",2022-07-27 12:34:39,706776804,1.552271244917371e+18,1,0,1,0,"Stalking another chat is to disturb the privacy of others.

#Blokirkominfo #Protesnetizen
#PSeMeManggarham #PSEBERBAUKOMUNIS",0.0,0.0
1.552270261789299e+18,id,"Kami tidak suka menguntit, tolong hargailah Privasi orang lain.

#BlokirKominfo #ProtesNetizen 
#PSEmelanggarHAM #PSEBerbauKomunis",2022-07-27 12:30:44,706776804,1.552270261789299e+18,1,0,1,0,"We don't like to stalk, please respect other people's privacy.

#Blokirkominfo #Protesnetizen
#PSeMeManggarham #PSEBERBAUKOMUNIS",-0.125,0.375
1.552269504121811e+18,id,"Ini Kempatan Terakhir anda untuk teken Petisinya, sebelum Kominfo Bikin Ulah Lagi!

https://t.co/CqfjMTk2Ab
https://t.co/kDCcKWW2Po

#BlokirKominfo #ProtesNetizen 
#PSEmelanggarHAM #PSEBerbauKomunis",2022-07-27 12:27:44,706776804,1.552269504121811e+18,2,0,1,0,"This is your last place to sign the petition, before the Ministry of Communication and Information makes the act again!

https://t.co/cqfjmtk2ab
https://t.co/kdckww2po

#Blokirkominfo #Protesnetizen
#PSeMeManggarham #PSEBERBAUKOMUNIS",0.0,0.06666666666666667
1.552241474686726e+18,id,@txtfrombrand Yang masalah bukan aku ada salah jadi perlu privasi. Tapi analoginya emang ada yang sudi kalo lagi berhubungan sama pasangan diliatin orang? #BlokirKominfo,2022-07-27 10:36:21,1477311044515089920,1.552153539069514e+18,0,0,1,0,@txtfrombrand the problem is not I have a wrong so I need privacy. But the analogy is indeed someone who is willing to be in contact with the couples seen people? #Blokirkominfo,-0.125,0.825
1.55223905130632e+18,id,"Presiden @jokowi  , mending apus aja akun @YouTube  anda.. Soal youtube mau diblokir sama @kemenkominfo 
#blokirkominfo",2022-07-27 10:26:43,1228565293187748096,1.55223905130632e+18,0,0,1,0,"President @jokowi, it's better to just your @youtube account .. about youtube you want to be blocked by @kemenkominfo
#Blokirkominfo",0.5,0.5
1.552226709524877e+18,id,"Siap2 besok kiamat digital guys kalo jadi. Stay tuned for Y2K Indonesian version, tomorrow! #BlokirKominfo",2022-07-27 09:37:41,103519903,1.552226709524877e+18,2,0,2,0,"Ready tomorrow Digital Doomsday Guys if finished. Stay tuned for Y2K Indonesian Version, Tomorrow! #Blokirkominfo",0.1,0.25
1.552224241453388e+18,id,hukum internet dan privasi di negeri ini memang lucu katanya ada keadilan sosial bagi seluruh rakyat Indonesia tapi kok kalau dilihat-lihat kagak ada tuh yang namanya keadilan sosial  #BlokirKominfo https://t.co/4QpfqkHCk8,2022-07-27 09:27:52,1414375433638859008,1.552224241453388e+18,1,1,1,0,"Internet Law and Privacy in this country is indeed funny, he said there is social justice for all Indonesian people, but if you look at it, there is no name of social justice #blokirkominfo https://t.co/4qpfqkhck8",0.1055555555555556,0.3777777777777778
1.552214171110228e+18,id,"Di diskusi #BlokirKominfo 7 hari lalu, wakil dari Kominfo ngomong akan mendengarkan masukan dari publik, apa benar?

Sayangnya itu cuma omong kosong. Sejak tahun lalu, @safenetvoice & koalisi berulang kali kirim surat ke @kemkominfo, tak satupun direspons. https://t.co/b4oc9vniSK",2022-07-27 08:47:51,222864124,1.552214161111007e+18,101,1,248,2,"In the #Blokirkominfo discussion 7 days ago, representatives from Kominfo said that they would listen to input from the public, is it true?

Unfortunately it's just nonsense. Since last year, @safenetVoice & coalition repeatedly sent a letter to @kemkominfo, none of them responded. https://t.co/b4oc9vnish",-0.03750000000000001,0.4458333333333334
1.552214161111007e+18,id,"Semingguan ini kita udah melihat situs PSE @kemkominfo yg menjadi bagian dari proyek 963 miliar dikuliti oleh netizen. Mulai dari fungsi hingga keamanan yg buruk.

Itu cuma 1 masalah. Masih banyak lagi masalah di tubuh @kemkominfo & aturan yg mereka buat. Apa aja? #BlokirKominfo https://t.co/JDGSVYwHzY",2022-07-27 08:47:49,222864124,1.552214161111007e+18,2295,68,5817,58,"We have seen the PSE @Kemkominfo website which is part of the 963 billion project skinned by netizens. Starting from function to poor security.

That's just 1 problem. There are many more problems in the body @kemkominfo & the rules they make. Anything? #Blokirkominfo https://t.co/jdgsvywhzy",0.15,0.425
