id,created_at,text,author_id,conversation_id,lang,retweet_count,reply_count,like_count,quote_count,en_text,polarity,subjectivity
1.553055529228206e+18,2022-07-29 16:31:07,"This is by far the biggest blunder the goverment have done. Instead of improving the shitty internet regulations they made it worst. Blocking dangerous apps i get, but blocking entertainment apps and informational apps and their distributor is just stupid. #BlokirKominfo",1.519946045186535e+18,1.553055529228206e+18,en,0,1,1,0,"This is by far the biggest blunder the goverment have done. Instead of improving the shitty internet regulations they made it worst. Blocking dangerous apps i get, but blocking entertainment apps and informational apps and their distributor is just stupid. #BlokirKominfo",-0.575,0.975
1.553026191711281e+18,2022-07-29 14:34:32,Jujur gua penasaran harus sejauh apa blunder dari kominfo sampai mereka akhirnya mau benar2 dengerin masyarakat #BlokirKominfo #ProtesNetizen #PSEmelanggarHAM,1.47731104451509e+18,1.553026191711281e+18,id,0,1,4,0,"Honestly, I'm curious about how far the blunder from the Ministry of Communication and Information until they finally want to listen to the community #Blokirkominfo #Protesnetizen #PSeMeMeMANGGARHAM",0.0,1.0
1.553025057387344e+18,2022-07-29 14:30:02,"Ini kyknya hashtag #blokirkominfo pada dibungkam sama topik lainnya deh.

Ada apaan ini? Kok tiba2 diam aja? 😵💫😵💫😵💫",297321870.0,1.553025057387344e+18,id,0,1,2,0,"This is the hashtag #Blokirkominfo on being silenced by other topics.

What is this? How come it's suddenly silent? 😵💫😵💫😵💫",-0.0625,0.2375
1.553023491292951e+18,2022-07-29 14:23:48,"Waktu terus berjalan....

Kini saatnya untuk meneken petisinya sekarang sebelum terlambat!

https://t.co/CqfjMTk2Ab
https://t.co/kDCcKWW2Po

#BlokirKominfo #ProtesNetizen 
#PSEmelanggarHAM #PSEBerbauKomunis",706776804.0,1.553023491292951e+18,id,2,0,2,0,"Time keeps running....

Now is the time to sign the petition now before it's too late!

https://t.co/cqfjmtk2ab
https://t.co/kdckww2po

#Blokirkominfo #Protesnetizen
#PSeMeManggarham #PSEBERBAUKOMUNIS",-0.375,0.6
1.553015127418749e+18,2022-07-29 13:50:34,"Jangan main catut @kemkominfo. Segera klarifikasi pencatutan tersebut!

#BlokirKominfo https://t.co/CmEIK2fHjx",2919929138.0,1.553015127418749e+18,id,0,0,4,0,"Don't play catut @kemkominfo. Immediately clarify the profiteering!

#Blokirkominfo https://t.co/cmeik2fhjx",0.0,0.0
1.553000074942497e+18,2022-07-29 12:50:45,😡😡😡 #BlokirKominfo https://t.co/0RdBSARZqJ,1.18883153189827e+18,1.553000074942497e+18,und,0,0,1,0,,,
1.552994951457575e+18,2022-07-29 12:30:24,"Apa lagi jika YouTube Diblokir, pada lari kemana? Pembuat Konten juga ikut merugi gegara Pemblokiran tersebut...

#BlokirKominfo #ProtesNetizen 
#PSEmelanggarHAM #PSEBerbauKomunis",706776804.0,1.552994951457575e+18,id,4,1,2,0,"What else if YouTube is blocked, where to run? The content maker also loses the blocking of the block ...

#Blokirkominfo #Protesnetizen
#PSeMeManggarham #PSEBERBAUKOMUNIS",-0.3,0.1
1.552993042311029e+18,2022-07-29 12:22:49,"Jika Layanan Google Diblokir Gegara PSE, Semua fungsi akan semakin berantakan....

#BlokirKominfo #ProtesNetizen 
#PSEmelanggarHAM #PSEBerbauKomunis",706776804.0,1.552993042311029e+18,id,2,0,3,0,"If Google's service is blocked by PSE Gage, all functions will be more messy ....

#Blokirkominfo #Protesnetizen
#PSeMeManggarham #PSEBERBAUKOMUNIS",0.15,0.45
1.552986891670417e+18,2022-07-29 11:58:22,"emang @kemkominfo anjing🖕🖕 #BlokirKominfo
klo gw ditangkep jgn lupa mainin genshin gw ya https://t.co/pjmR96Eb4a",1.39669464450363e+18,1.552986891670417e+18,id,1,0,4,0,"indeed @kemkominfo dog🖕🖕 #blokirkominfo
if I am credited, don't forget to play my gesthin https://t.co/pjmr96eb4a",0.0,0.0
1.55298121416824e+18,2022-07-29 11:35:49,"1 Negara bakal kecewa berat gara-gara Pemblokiran Masif yang tidak terdaftar di PSE...

Apakah Benar PSE Melanggar HAM?

#BlokirKominfo #ProtesNetizen 
#PSEmelanggarHAM #PSEBerbauKomunis",706776804.0,1.55298121416824e+18,id,1,1,2,0,"1 country will be disappointed because of massive blocking that is not registered in PSE ...

Is it true that PSE violates human rights?

#Blokirkominfo #Protesnetizen
#PSeMeManggarham #PSEBERBAUKOMUNIS",-0.1,0.625
1.552977878815756e+18,2022-07-29 11:22:33,"Ya karena verifikasinya belakangan. Suruh daftar aja dulu sebanyak-banyaknya. 
Padahal proyek hampir 1T lho itu, apa aja ya bisanya?
#BlokirKominfo https://t.co/FeXKguqYh2",5828832.0,1.552977878815756e+18,id,1,2,3,0,"Yes because of the recent verification. Just tell the list first as much as possible.
Even though the project is almost 1T, you know, what are you doing?
#Blokirkominfo https://t.co/fexkguqyh2",0.08333333333333333,0.5277777777777778
