id,text,created_at,conversation_id,lang,author_id,retweet_count,reply_count,like_count,quote_count,en_text,polarity,subjectivity
1.55342E+18,"Wkwkwkwkw kominfo ini apa sih, bisa bisanya paypal di block dek bek bek bek bek asu",2022-07-30 16:59:06,1.55342E+18,id,395190638,0,0,0,0,"Wkwkwkwkw what is this Kominfo, it can be usually Paypal in Block Dek defender defender ASU",-0.25,0.25
1.55342E+18,"Kominfo                     Thibaut courtois

                           🤝

               Block sana sini",2022-07-30 16:56:06,1.55342E+18,et,43292372,0,0,0,0,"Kominfo Thibaut Courtois

                           🤝

               Block sana blue",0,0.1
1.55342E+18,"udh deh kominfo, tarik lagi dah tuh yg udh di block²in. trs abis itu block situs² ilegal dah tuh kaya judi online, bajakan, dll. ga cape apa diserang satu negara mulu?",2022-07-30 16:56:01,1.55342E+18,id,1.13955E+18,0,1,0,0,"Udh, Kominfo, pull again the one who was blocked. Then after that block illegal sites, it's like online gambling, pirated, etc. Isn't it tired of being attacked by a country first?",-0.2166666667,0.5111111111
1.55342E+18,@fleuriadne @meguminmay MANA NI KOMINFO BLOCK AJA LA RACUN RACUN SHOPEE SPAM NIIIIII,2022-07-30 16:54:09,1.55316E+18,id,105481350,0,0,1,0,@fleuriadne @meguminmay Where is this Kominfo just block la la poison shopee spam niiiiii,0,0
1.55342E+18,Bro this motherfucking kominfo are going to block stackoverflow website from us🤓👍. KOMINTOL,2022-07-30 16:54:03,1.55342E+18,en,1.49314E+18,0,0,0,0,Bro this motherfucking kominfo are going to block stackoverflow website from us🤓👍. KOMINTOL,0,0
1.55342E+18,Mungkin kominfo adalah orang-orang yang kalo move on musti block mantan 🤧,2022-07-30 16:53:42,1.55342E+18,id,9.78483E+17,0,0,1,0,Maybe the Ministry of Communication and Information is the people who are moving on must block the former 🤧,0,0
1.55342E+18,Kominfo biar keliatan kerja cuma block block doang ya dari dulu😌,2022-07-30 16:52:38,1.55342E+18,id,1584609799,0,0,1,0,"Communication and Information so that it looks like work just block blocks, yes from the first",0.25,0.3333333333
1.55342E+18,"Currently as an Indonesian, today is a very sad day because Kominfo decided to block most of gaming service platform and PayPal, Yahoo, also most of payment service. Thankfully, it is still can be accessible with VPN or DNS. But still what a bad decisions for Kominfo to do.",2022-07-30 16:39:38,1.55342E+18,en,1.27239E+18,0,0,0,0,"Currently as an Indonesian, today is a very sad day because Kominfo decided to block most of gaming service platform and PayPal, Yahoo, also most of payment service. Thankfully, it is still can be accessible with VPN or DNS. But still what a bad decisions for Kominfo to do.",0.004166666667,0.5736111111
1.55342E+18,Kominfo pls jangan block canva,2022-07-30 16:35:50,1.55342E+18,ht,291615431,0,0,1,0,Communisto Pls Jangan Block Canva,0,0
1.55342E+18,"Kominfo bikin pening.  Jan ampe ye tu stackoverflow, git, npm dll di block. Ntr jadi apaaan gw",2022-07-30 16:31:43,1.55342E+18,id,1.1492E+18,0,0,0,0,"Kominfo makes dizzy. Jan ampe ye tu stackoverflow, git, npm etc. in block. Ntr so what are I",0,0
