id,text,author_id,created_at,conversation_id,lang,retweet_count,reply_count,like_count,quote_count,en_text,polarity,subjectivity
1.55267971263565e+18,"Perusahaan yang Tak Daftar PSE Kominfo akan Alami Kerugian Ini

Kominfo memberikan waktu lima hari kerja. Jika mereka tidak mau mendaftar maka mekanisme blokir akan berlaku
@PlateJohnny
@kemkominfo
https://t.co/c9qdaWXE7G",2495710832,2022-07-28 15:37:45,1.55267971263565e+18,id,0,0,0,0,"Companies that do not list PSE Kominfo will experience this loss

Kominfo gives five working days. If they don't want to register, the blocking mechanism will apply
@Platejohnny
@kemkominfo
https://t.co/c9qdawxe7g",0.0,0.0
1.552656197043401e+18,"Komenkominfo sejatinya sudah menutup pendaftaran PSE pada 20 Juli lalu. Namun, diberikan tambahan waktu lima hari mulai tanggal 21-27 Juli pukul 23.59 WIB. / #Tekno #PSE #PSELingkupPrivat #Kominfo #Platformdigital #JernihkanHarapan 

Baca di https://t.co/nFy0yVErdr https://t.co/TZFDmlANdC",23343960,2022-07-28 14:04:18,1.552656197043401e+18,id,3,0,6,0,"Kombenkominfo actually closed PSE registration on July 20. However, an additional five days from July 21-27 at 23.59 WIB. / #Tekno #PSE #PSELKUPPRIVAT #KOMINFO #Platformdigital #Jerantanhapananhapan

Read at https://t.co/nfy0yverdr https://t.co/tzfdmlandc",-0.1,0.1
1.552646354719089e+18,Aturan PSE Lingkup Privat mendadak jadi bola panas beberapa pekan terakhir. Ancaman pemblokiran Google Cs menghantui apabila tidak daftar ke Kominfo. https://t.co/QWWhBsnuoe,135815019,2022-07-28 13:25:12,1.552646354719089e+18,id,1,0,3,0,PSE rules of private scope have suddenly become hot balls in the last few weeks. The threat of blocking Google cs haunts if you don't register to the Ministry of Communication and Information. https://t.co/QWWHBSNUOE,0.009999999999999998,0.3783333333333334
1.552644156400742e+18,@memefess Tolong kominfo blokir moonton saja,834655278666702848,2022-07-28 13:16:28,1.55264380839059e+18,id,1,1,32,1,@memeffess please just block the Moonton.,0.0,0.0
1.552632845062902e+18,"Jelaskan Aturan PSE Terkait Konten Layanan, Kominfo Juga Berhak Beri Sanksi Blokir
https://t.co/7xDxFUbo0o",1309595463650217984,2022-07-28 12:31:31,1.552632845062902e+18,id,0,0,0,0,"Explain the PSE rules related to service content, the Ministry of Communication and Information is also entitled to a block sanction
https://t.co/7xdxfubo0o",0.0,0.4
1.552618597750829e+18,@kemkominfo Kepada Yth terhormat Kominfo saya minta tolong aplikasi hisee di blokir soalnya aplikasi tidak benar,1521870070787763968,2022-07-28 11:34:54,1.256962853963133e+18,id,0,0,0,0,@kemkominfo to Dear Dear Kominfo I ask for help the Hisee application is blocked because the application is not true,-0.175,0.65
1.55260722750831e+18,Benarkah Google dan YouTube Sudah Daftar PSE dan Bebas Blokir Kominfo? https://t.co/0edRMX4bF9,2243116382,2022-07-28 10:49:43,1.55260722750831e+18,id,0,0,0,0,Is it true that Google and YouTube have registered PSE and are free to block Kominfo? https://t.co/0edrmx4bf9,0.375,0.7250000000000001
1.552605537082102e+18,@NarasiNewsroom Hosting incapsula yang nampung domain https://t.co/WnPyCkjrtF kok di taro di LN kagak bikin sendiri. Mana berani kominfo blokir incapsula. Nanti web nya down sendiri mau press con apa coba wkwkwk,998582689740476416,2022-07-28 10:43:00,1.551057617354535e+18,id,1,0,2,0,"@Narasinewsroom hosting incapsula which accommodates the domain https://t.co/wnpyckjrtf how come in taro on ln not to make it yourself. Which dares to communicate incapsula. Later the web will be down yourself what press con try, try wkwkwk",-0.07777777777777779,0.1444444444444445
1.552591197624906e+18,"Hari Terakhir Pendaftaran PSE, Siapa Kena Blokir?  #Kominfo #Opera #LinkedIn #Alibaba #KominfoBlokir #PenyelenggaraSistemElektronik #Roblok https://t.co/n8jz8KtIIF https://t.co/Ijobjjwcck",737114089386741760,2022-07-28 09:46:01,1.552591197624906e+18,id,0,0,0,0,"The last day of PSE registration, who was blocked? #Kominfo #opera #linkedin #alibaba #kominfoblokir #perenggarasistelectronics #roblok https://t.co/8jz8ktiif https://t.co/ijobjjwcck",0.0,0.06666666666666667
1.55258694821625e+18,"Google dan YouTube tidak tercatat sebagai PSE asing di Indonesia. Benarkah raksasa teknologi ini terbebas dari ancaman blokir Kominfo?

 https://t.co/6HsXPuyW6e",552523769,2022-07-28 09:29:08,1.55258694821625e+18,id,0,0,0,0,"Google and YouTube are not recorded as foreign PSEs in Indonesia. Is it true that this technology giant is free from the threat of blocking the Ministry of Communication and Information?

 https://t.co/6hsxpuyw6e",0.15625,0.64375
