id,lang,author_id,created_at,conversation_id,text,retweet_count,reply_count,like_count,quote_count,en_text,polarity,subjectivity
1.55305573870012e+18,id,96718385,2022-07-29 16:31:57,1.55305573870012e+18,Ini beneran Steam di blokir sama Kominfo. Hahaha lucu banget.,0,1,0,0,This is really Steam blocked by the Ministry of Communication and Information. Hahaha really funny.,0.2166666666666667,0.5333333333333333
1.553052337903911e+18,id,251030240,2022-07-29 16:18:26,1.553040478160818e+18,"@TretanMuslim @kemkominfo Kominfo punya masalah apa sih ??

Kek cewe lgi pms...dikit2 blokir",0,0,7,0,"@Tretanmuslim @kemkominfo Kominfo what problem do you have?

Kek girls again pms ... little blocked",-0.1875,0.5
1.553047675188105e+18,id,1221079210686464000,2022-07-29 15:59:54,1.553040478160818e+18,@TretanMuslim @kemkominfo blokir kominfo aja bsa gk,0,0,1,0,@Tretanmuslim @kemkominfo just blocked the communication and information,0.0,0.0
1.553044037363712e+18,id,783962215619497984,2022-07-29 15:45:27,1.553044037363712e+18,"Kominfo gajelas nih. Maen blokar-blokir aja. Kalo fesbuk diblock, ntar bos w kalo mau komplen materi ads, gimana pea? Masa sms?",0,1,2,0,"Kominfo is clear. Just playing blockar-blocking. If the fesbuk is blocked, later the boss w if you want to complain about ads material, how about pea? Periods of sms?",0.05000000000000001,0.1916666666666667
1.55304394061788e+18,id,1315607909993082880,2022-07-29 15:45:04,1.55304394061788e+18,"mending kominfo blokir ig mantan saya, lebih bahaya soalnya https://t.co/RRR5VHhfdb",0,0,0,0,"Better Communication and Information Block my ex IG, more dangerous because https://t.co/rr5vhfdb",0.1333333333333333,0.6333333333333333
1.553043201438917e+18,id,1273169992083738880,2022-07-29 15:42:08,1.553043201438917e+18,"udah gila

https://t.co/00K6h31nbX",0,4,0,0,"Already crazy

https://t.co/00K6H31NBX",-0.6,0.9
1.553042344965919e+18,id,3531262886,2022-07-29 15:38:43,1.553040478160818e+18,@TretanMuslim @kemkominfo blokir kominfo bisa gasi,0,0,1,0,@Tretanmuslim @kemkominfo Block Kominfo can be,0.0,0.0
1.553041097970287e+18,id,1043874462100144000,2022-07-29 15:33:46,1.553040478160818e+18,@TretanMuslim @kemkominfo dikit2 blokir kek cewe aj ni kominfo,0,1,21,0,@Tretanmuslim @kemkominfo a little blocked kek girls aj ni kominfo,-0.1875,0.5
1.55303514496528e+18,id,1369573838007063040,2022-07-29 15:10:07,1.55303514496528e+18,"kalo mrk gak butuh RI tapi WNI yg butuh mrk gmn?
sperti situs gaming,jurnal,trading/exchange,dsb?!
bener2 nyusahin doang nih pencetus ide PSE norak ini!!
lebih orba dari orba!tiran!
@PNS_Ababil @kemkominfo @PerekonomianRI @mohmahfudmd @muhadjir_ef @jokowi 
https://t.co/Yngart9pg3",0,1,0,0,"If they don't need RI, but the citizens who need them?
Like gaming sites, journals, trading/exchange, etc.?!
really bothering this triggers this psek tacky idea !!
more New Order than New Order! Tiran!
@Pns_ababil @kemkominfo @peeconomianri @mohmahfudmd @muhadjir_ef @jokowi
https://t.co/yngart9pg3",0.2904829545454545,0.4022727272727273
1.553034918992966e+18,id,1274276367803183104,2022-07-29 15:09:13,1.553034039862624e+18,"Oh iya, gimana soal Google dan YouTube? Meskipun ia ga muncul di daftar PSE di laman web kominfo, tapi sebenarnya mereka sudah daftar in a classic way (atau secara manual).

https://t.co/dSUAsaUe6i",1,1,2,0,"Oh yeah, what about Google and Youtube? Although he did not appear on the PSE list on the Kominfo web page, but in fact they have registered in a classic way (or manually).

https://t.co/dsuasauue6i",0.1666666666666667,0.1666666666666667
1.553034234956517e+18,id,1452881937329058048,2022-07-29 15:06:30,1.553034234956517e+18,"Twitter emang tempat terbaik..
Makanya waktu tau kominfo mau blokir sedih bener njer..
Lebih sering cerita di twitter ghaib yg ga ada followers si, habis cerita disitu kek berasa ringan aja https://t.co/LZloJ9z6Ve",0,0,1,0,"Twitter is the best place ..
So when I found out Kominfo wanted to block the sadness really ...
More often stories on unseen twitter that don't have followers, after the story there is just a light taste https://t.co/lzloj9z6ve",0.525,0.425
1.553032202748772e+18,id,1335233388970569984,2022-07-29 14:58:25,1.553032202748772e+18,bisa-bisanya presiden diem ae liat kelakuan kominfo yg maen blokir ae,0,0,2,0,How could the president be silent to see the behavior of the Ministry of Communication and Information,0.0,0.1
1.553031003501117e+18,id,101949560,2022-07-29 14:53:39,1.553031003501117e+18,kominfo bisa skalian blokir dajjal agar tidak turun gk https://t.co/Df2KoerOBm,0,0,0,0,Kominfo can be able to block the Antichrist so as not to go down https://t.co/df2koerobm,0.1722222222222222,0.4569444444444445
1.553028767953846e+18,id,1057345268,2022-07-29 14:44:46,1.553028767953846e+18,"gimana kalo kominfo itu bikin internet kayak china, apa"" pake buatannya sendiri. jadi gaperlu repot blokir sana sini.",0,1,1,0,"What if the Ministry of Communication and Information makes the internet like China, what is ""using it himself. So it is gaperlu to bother blocking here and there.",0.0,0.0
1.55302770140946e+18,id,1225432911899323904,2022-07-29 14:40:32,1.55302770140946e+18,Kominfo Ancam Blokir Yahoo Tengah Malam Ini https://t.co/6hmFzf8vSc lewat @Onlineindo News,0,0,0,0,Kominfo threatened to block Yahoo at midnight https://t.co/6hmfzf8vSc via @onlineindo news,0.0,0.0
1.553027594596995e+18,id,1251657126222508032,2022-07-29 14:40:07,1.553024687101612e+18,@mmatchaaaaaa @illusobi Halo kominfo blokir aja nih twter nya,0,0,0,0,@mmatchaaaaaa @illusobi hello kominfo just blocked the tweet,0.0,0.0
1.553025725741281e+18,id,1380042071042448896,2022-07-29 14:32:41,1.552984881831244e+18,@tsetiady daripada blokir website mending kominfo bikin extension aja yang ngeluarin pop up 'eh website ini belun terdaftar lo' emang annoying tapi websitenya tetep works semua hepi,0,0,1,0,"@tsetiady rather than blocking the website mending the Ministry of Communication and Information, just make an extension that releases pop up 'eh this website is not registered.",0.0,0.0
1.553024538916491e+18,id,1251657126222508032,2022-07-29 14:27:58,1.553013700956541e+18,@iamurfavv Hrusnya kominfo blokir twit lu,0,1,0,0,@iamurfavv hrred Kominfo block your twit,0.0,0.0
1.553021955476902e+18,id,323324294,2022-07-29 14:17:42,1.553021955476902e+18,coba kalau di blokir kominfo apakah bisa menggunakan fitur google API bakalan tumbang semua seperti starup https://t.co/Vynq6hANgq,0,0,0,0,"Try if you blocked the Ministry of Communication and Information, can you use the Google API feature to fall all like Starup https://t.co/vynq6hangq",0.0,0.0
1.55301888072106e+18,id,412196500,2022-07-29 14:05:29,1.552835435730436e+18,"@amuridee @Steam @EpicGames @riotgames @Twitch @kemkominfo Lek steam di blokir ambek kominfo, yopo nasib e kantusha ku cuk?????? @adel_todel",1,1,1,0,"@amuridee @steam @epicgames @riotgames @twitch @kemkominfo lek steam blocked ambiek kominfo, yopo fate e kantusha I cuk ?????? @adel_todel",0.0,0.0
1.553018628642968e+18,id,1490529555786125056,2022-07-29 14:04:29,1.553018628642968e+18,"Kominfo akan blokir Dota, Counter Strike, dan 4 Platform Game lainnya jika tidak daftar PSE hingga nanti malam pukul 23.59 WIB.

#besmartidn

Selengkapnya klik link di bawah ini👇👇👇
https://t.co/4TjPnrpUz6",0,0,0,0,"Kominfo will block Dota, Counter Strike, and 4 other game platforms if you don't register PSE until tonight at 23.59 WIB.

#Besmartidn

More Click the link below 15 15
https://t.co/4tjpnrpuz6",-0.00833333333333334,0.425
1.553017258019934e+18,id,1251657126222508032,2022-07-29 13:59:02,1.552969565189325e+18,@esyandaa mlut yg hrs di blokir kominfo,0,1,0,0,@esyandaa MLUT which must be blocked by Kominfo,0.0,0.0
1.553016236283335e+18,id,1503208993564487936,2022-07-29 13:54:59,1.553011849716568e+18,"@YWlZHUO @dadah Emank ak gemes sie,,, 😚😚 km mum liat lbih bnyak gemesan q kh??? Stay ma ak smpe twitter di blokir kominfo yhh 😘😘",0,1,0,0,"@Ywlzhuo @dadah emank ak gemes sie ,,, 😚😚 km mum look more and more gurgling q kh ??? Stay ma ak sms twitter is blocked by Kominfo yhh 😘😘",0.5,0.5
1.553016204641845e+18,id,350668803,2022-07-29 13:54:51,1.553016204641845e+18,"Kominfo Ancam Blokir Yahoo hingga Dota bila Tak Daftar sampai Tengah Malam

https://t.co/HPSXpjINOg",0,0,0,0,"Kominfo threatened to block Yahoo to Dota if he did not register until midnight

https://t.co/hpsxpjinog",0.0,0.0
1.553015143554028e+18,id,1533808301665710080,2022-07-29 13:50:38,1.553015143554028e+18,"Para pengguna Yahoo di Indonesia, termasuk email Yahoo Mail sebaiknya waspada. Kementerian Komunikas   #berita #tekno  https://t.co/GT7lE3xkrv",0,0,0,0,"Yahoo users in Indonesia, including Yahoo Mail email, should be vigilant. Ministry of Communication #Berita #Tekno https://t.co/gt7le3xkrv",0.0,0.0
1.553014353657762e+18,id,115915129,2022-07-29 13:47:30,1.553013302804238e+18,"Ingat VPN itu cuma biar lolos dari blokir akses saja, tapi tidak menjamin keamanan dan juga tidak bisa dijadikan tameng dari pihak berwajib jika anda suatu saat melanggar hukum #PSE #kominfo #trash",1,1,2,0,"Remember the VPN is only to escape the block of access, but does not guarantee security and also cannot be used as a shield from the authorities if you one day violate the law #PSE #KOMINFO #TRASH",0.0,1.0
