id,text,lang,created_at,conversation_id,author_id,retweet_count,reply_count,like_count,quote_count,en_text,polarity,subjectivity
1.553750654996586e+18,"@Okpendy Emang iya itu Kominfo otaknya cuan itu, video Reels di Facebook ada cewek "" ga di bl9kir padahal ngundang sawat",id,2022-07-31 14:33:18,1.553711987506704e+18,1810294993,0,0,4,0,"@Okpendy, yes, that's the Communication and Information of his brain, the video reels on Facebook have a girl ""not in BL9Kir even though invited Sawat",0.0,0.0
1.553750178947289e+18,"@TeddGus @kemkominfo @PlateJohnny @ernestprakasa Yang di sensor kartun Doraemon, Reels dan Video Pendek di Facebook kenapa ga di blokir sih, Kominfo tai",id,2022-07-31 14:31:24,1.553720264302572e+18,1810294993,0,0,0,0,"@Teddgus @kemkominfo @platejohnny @nestprakasa censored Doraemon cartoon, reels and short videos on Facebook why not blocked, Kominfo Tai",0.0,0.3
1.553738347788784e+18,"Lain kali kalau nyari orang untuk di Kominfo minimal punya akun Facebook lahh, biar gak gaptek https://t.co/1svYTL1nGi",id,2022-07-31 13:44:23,1.553738347788784e+18,829546075878940672,0,0,1,1,"Next time, if you find people to be at the Ministry of Communication and Information, you have a minimum Facebook account, so you don't gaptek https://t.co/1svytl1nggi",0.0,0.0
1.553731426339922e+18,btul. mending kominfo blokir facebook https://t.co/6Q4aLPXe39,id,2022-07-31 13:16:53,1.553731426339922e+18,167655659,0,0,0,0,Btul. Better Communication and Information Block Facebook https://t.co/6q4alpxe39,0.5,0.5
1.55372819530777e+18,"Liat Twitter, Facebook sama IG semuanya sama ""kominfo"", seperti yang sudah terlihat tidak ada penjelasan pasti kepada warga tentang PSE, dan tau-tau semuanya di Blokir.

Well they're fucked up.",id,2022-07-31 13:04:03,1.55372819530777e+18,1382590229421249024,1,1,4,0,"Look at Twitter, Facebook and IG are all the same as ""Kominfo"", as seen there is no exact explanation to residents about PSE, and know everything is blocked.

Well they're fucked up.",-0.2416666666666667,0.3583333333333333
1.553727938239275e+18,"#RekayasaPolitikTamengResesi
#RekayasaPolitikTamengResesi
Nunes صلاح Suizid ベリアル Mimi Emirhan 水着ベリアル

Semoga rame dan terkumpul banyak. Wkwkwk… 
https://t.co/STdDHp6XgP",ja,2022-07-31 13:03:02,1.553727938239275e+18,77654478,7,3,15,0,"#Rekayasapolitamengressesi
#Rekayasapolitamengressesi
NUNES ص Suizid Belial Mimi Emirhan Swimwear Belial

SEMOGA RAME DAN TERKUMPUL BANYAK. WKWKWK…
https://t.co/stddhp6xgp",0.0,0.0
1.553716141553357e+18,@Isfunadila1 Facebook memang boomer tapi gak seboomer dari kominfo,id,2022-07-31 12:16:09,1.553551926218064e+18,1546480821699091968,0,0,0,0,@Isfunadila1 Facebook is indeed boomer but not seemoomer from Kominfo,0.0,0.0
1.553701690808758e+18,"@ditamoechtar_ Akun ig, facebook,twitter,web si persib nu kuduna d blok kominfo teh.",et,2022-07-31 11:18:44,1.553698008495055e+18,1079322172168892032,1,1,6,0,"@Ditamoechtar_ Akun Ig, Facebook, Twitter, Web Si Persib Nu Kuduna d Blok Kominfo Teh.",0.0,0.0
1.553679753659294e+18,Muncul Gerakan 'Ramai-Ramai Lempar Botol Pipis ke Kantor Kominfo' di Facebook https://t.co/UkYsVYGA5I,id,2022-07-31 09:51:33,1.553679753659294e+18,58880688,1,0,3,0,A 'crowded roll of pitched bottles appeared to the Ministry of Communication and Information Office' on Facebook https://t.co/ukysvyga5i,0.0,0.0
1.553674933028327e+18,"#BlokirKominfo kenapa Kominfo nggak blokir Google Facebook Whatsaap? karena mereka butuh wkwkwkwk, mereka aja masih pake banyak produk yang belum daftar PSE kok, sok sokan menegakan aturan",id,2022-07-31 09:32:24,1.553674933028327e+18,708590262226845696,0,0,0,0,"#Blokirkominfo Why don't Kominfo block Google Facebook Whatsaap? Because they need wkwkwkwk, they still use a lot of products that have not yet registered PSE, pretending to uphold the rules",0.0,0.0
