id,conversation_id,lang,author_id,text,created_at,retweet_count,reply_count,like_count,quote_count,en_text,polarity,subjectivity
1.55342483836647e+18,1.5533803036073e+18,id,1.552692909639614e+18,"@KemoTherapy0 @secgron Kominfo belum dapat akses chat WhatsApp aja udah main doxing gini, apalagi ntar kalau udah berlaku sepenuhnya aturan PSE? Ujung-ujungnya nanti bakal dimanfaatkan buat Pemilu 2024, mengingat jumlah pemuda mendominasi di 2024 nanti.",2022-07-30 16:58:37,24,1,81,0,"@Kemotherapy0 @secgron Kominfo hasn't gotten access to WhatsApp chat already playing doxing like this, especially if you already apply fully the PSE rules? In the end, it will be used for the 2024 election, considering the number of young people dominates in 2024 later.",0.03333333333333333,0.4666666666666666
1.553415757173703e+18,1.553238064851325e+18,id,1.503651785155645e+18,@txtdrberseragam Belom lagi chat whatsapp bisa di baca oleh kominfo apakah seperti itu pantas ?,2022-07-30 16:22:32,0,0,1,0,"@txtdrbersArTraagi has not yet chat WhatsApp can be read by the Ministry of Communication and Information, is it like that?",0.0,0.0
1.553415618103489e+18,1.553412483443937e+18,id,1.394793180000776e+18,"@RajaIndonesia2 vcs promo sam Lina ya masuk grup live telegram wa vcs hijab promo sama Lina malam ini ya yuk RETWEET & cek wa DM atau telegram 081368859264

https://t.co/e1EeG7svnR
#vcs
#SANGE_AAAAAAAAAAH  
#malming
#kominfo     
#PersibDay #PERAWAN 
Tele live vcs masuk 
https://t.co/Rdhq4UPAeH",2022-07-30 16:21:59,0,0,0,0,"@Rajaindonesia2 VCS ​​Promo Sam Lina Yes Entering Live Telegram Wa Vcs Hijab Promo Promo with Lina Tonight Yes Retweet & Check WA DM or Telegram 081368859264

https://t.co/e1eeg7svnr
#VCS
#Sange_aaaaaaaaaaah
#Malming
#Kominfo
#PERSIBDAY #PERAWAN
Tele Live Vcs Enter
https://t.co/rdhq4upaeh",0.1363636363636364,0.5
1.553409669343105e+18,1.553297256564281e+18,id,3029596450.0,@JeromePolin Tupoksi kominfo terhitung hari ini cuma buat ngawasi obrolan whatsApp,2022-07-30 15:58:20,0,0,0,0,@Jeromepolin Tupoksi Kominfo As of today only to monitor whatsapp chat,0.0,1.0
1.553408693827674e+18,1.553408693827674e+18,id,1.423102248356246e+18,"nah gais jangan mau dibodohin media. whatsapp aja gabisa baca chat usernya, kalo kominfo bisa baca ya whatsapp udah menuntut kominfo kali. lagi juga gabut banget kominfo bacain chat lo kek penting aja isi chatnya. mendingan liat isi chat oposisi, lebih berguna. pakai akalnya🙏🏼 https://t.co/eUZiCVlD2H https://t.co/JKN2lFHjMX",2022-07-30 15:54:28,0,1,1,0,"Well, don't want to be fooled by the media. WhatsApp just can't read the user's chat, if the Ministry of Communication and Information can read WhatsApp already demanding Kominfo times. Again, I am very stubborn, Kominfo, read your chat, it's important to fill the chat. It's better to see the contents of the opposition chat, more useful. Use the reason itself https://t.co/euzicvld2h https://t.co/jkn2lfhjmx",0.38,0.46
1.553403404051173e+18,1.553403404051173e+18,id,509946051.0,"PSE Kominfo, Mengapa ingin Blokir Facebook, WhatsApp hingga Google? Ini Jawabannya https://t.co/Bc99xBft03",2022-07-30 15:33:27,0,0,0,0,"PSE Kominfo, why do you want to block Facebook, WhatsApp to Google? This is the answer https://t.co/bc99xbft03",0.0,0.0
1.553403181954044e+18,1.553403181954044e+18,id,873242628.0,"Fungsi PSE https://t.co/jJck9DZIX6

Vs

Realisasi tanpa kurasi

Awokwokwokwok 🙈 https://t.co/a0uq9nr76g",2022-07-30 15:32:34,0,0,1,0,"PSE function https://t.co/jjck9dzix6

Vs

Realization without curation

Awokwokwokwok 🙈 https://t.co/a0uq9nr76g",0.0,0.0
1.553399282144649e+18,1.553399282144649e+18,id,371261655.0,"🚩🚩🚩🚩🚩

""Ini gue dapet cerita dari temen di kominfo..""
""Guys, ada klarifikasi dari temen di kominfo via whatsapp..""
""Gue bukannya mau belain kominfo, ya, tapi..""",2022-07-30 15:17:04,244,6,827,10,"🚩🚩🚩🚩🚩

""This I got a story from a friend at the Ministry of Communication and Information ..""
""Guys, there is clarification from friends at Kominfo via WhatsApp ..""
""I don't want to buy Kominfo, yes, but ...""",0.0,0.0
1.553397223378993e+18,1.553397223378993e+18,zxx,1.391252652852277e+18,https://t.co/uFRwoHRnDO,2022-07-30 15:08:53,0,0,0,1,,,
1.553392072937202e+18,1.553392072937202e+18,id,23343960.0,"Kominfo membantah bisa mengintip pesan pribadi yang dikirim lewat WhatsApp, Telegram, atau e-mail, dan sebagainya apabila platform digital telah terdaftar sebagai PSE. / #Kominfo #PlatformDigital #PSELingkupPrivat #JernihkanHarapan 

Baca di https://t.co/DJ7Xiw6IBe https://t.co/FE9awFd3Hl",2022-07-30 14:48:25,7,6,20,1,"Kominfo denied being able to peek at private messages sent via WhatsApp, Telegram, or E-mail, and so on if the digital platform had been registered as a PSE. / #Kominfo #platformdigital #pselkuppprivat #jarnatanhapanhapan

Read at https://t.co/dj7xiw6IBE https://t.co/fe9awfd3l",0.1666666666666667,0.3333333333333333
1.553388748653531e+18,1.553388748653531e+18,id,1.515295242907693e+18,"Info Pola Gacor & Link Slot Gacor Hari Ini
30 Juli 2022

Link 1 : https://t.co/z5Bw2geDIa
Link 2 : https://t.co/fJoZtfJKmz

Zeus lagi kurang gacor semenjak isu Kominfo 👉👈

📞 Whatsapp https://t.co/ncBL25fNYK https://t.co/VsR0f0Ju0l",2022-07-30 14:35:12,1,1,0,1,"Gacor Pattern Info & Today's Gacor Slot Link
July 30, 2022

Link 1: https://t.co/z5bw2gedia
Link 2: https://t.co/fjoztfjkmz

Zeus is not lacking since the issue of Kominfo 👉👈

📞 Whatsapp https://t.co/ncbl25fnyk https://t.co/vsr0f0ju0l",0.0,0.0
1.553384821405061e+18,1.553271147520635e+18,id,1.20352696586242e+18,"@decikot yang penting bisa WhatsApp. gapenting Microsoft. apansi, Microsoft. aplikasi working biasa doang. alih-alih mah, Kominfo bisa buat yang lebih efisien.",2022-07-30 14:19:36,0,0,0,0,"@decikot that is important can be whatsapp. Gapenting Microsoft. APANSI, MICROSOFT. Ordinary Working Application. Instead of mah, the Ministry of Communication and Information can be made more efficient.",0.2166666666666667,0.6666666666666666
1.553381420357206e+18,1.553381420357206e+18,en,37196309.0,Can kominfo just stop banning everything and start banning whatsapp chain messages? The misinformation is getting dumber and dumber by the day 😭,2022-07-30 14:06:05,0,0,0,0,Can kominfo just stop banning everything and start banning whatsapp chain messages? The misinformation is getting dumber and dumber by the day 😭,0.0,0.0
1.553380431059649e+18,1.553380431059649e+18,id,1.158070826769375e+18,kalo whatsapp di sadap kominfo ntar ktauan dong yaa 🫣,2022-07-30 14:02:09,0,2,1,0,"If WhatsApp is tapped by the Communication and Information, please 🫣",0.0,0.0
1.553380317679223e+18,1.553131099043164e+18,id,1.234840556682924e+18,@txtdrpemerintah hidup slot slot ngentod .. kominfo kakean nguntal whatsapp mba mba admin slot...,2022-07-30 14:01:42,0,0,0,0,@TXTDRPEMERSUMAN LIFE SLOT SLOT NGENTOD .. Kominfo Kakean Ngunal WhatsApp mba mba admin slot ...,0.0,0.0
1.553376869839696e+18,1.553376869839696e+18,id,1.287081099613491e+18,"Aturan PSE, Kominfo Bantah Intip Percakapan WhatsApp dan Gmail 

#BlokirKominfo https://t.co/vl0RxRiYCJ",2022-07-30 13:48:00,0,0,0,0,"PSE Rules, Communication and Information Denies Whatsapp and Gmail Conversation

#Blokirkominfo https://t.co/vl0rxriycj",0.0,0.0
1.553376555513983e+18,1.553376555513983e+18,id,740630232.0,"Kominfo gak blokir WhatsApp kayanya, tapi kok chatku centang satu ya?",2022-07-30 13:46:45,0,1,0,0,"Kominfo doesn't block whatsapp rich, but how come my chat checks one huh?",0.375,0.75
1.553376064885273e+18,1.553357252626502e+18,id,1.168696591915504e+18,@taeeehyung9 @convomf lah ga tau yang? kan WhatsApp kita skrg dipantau sama Kominfo katanya sih itu juga😌,2022-07-30 13:44:48,0,1,0,0,"@taeeehyung9 @convomf don't you know? WhatsApp we are now monitored by the Ministry of Communication and Information, he said that too😌",0.0,0.0
1.553373608587989e+18,1.553373608587989e+18,id,1.064054718551347e+18,"Chat gbtan cuman diread, kominfo pasti sedih lihat isi whatsapp ku",2022-07-30 13:35:03,0,0,0,0,"Chat GBTAN Only Realad, Kominfo must be sad to see the contents of my whatsapp",-0.25,1.0
