id,lang,author_id,created_at,conversation_id,text,retweet_count,reply_count,like_count,quote_count,en_text,polarity,subjectivity
1.553062471711494e+18,id,1.15556376554428e+18,2022-07-29 16:58:42,1.553052121809166e+18,"@fikrifingkreww @flaraflavia fla ndek akun utama e follow koncoe mas, nang 2nd account tok dee follow akun pemerintahan. kominfo, bnn, jokowi, bahkan luhut difollow.",0,3,0,0,"@fikrifingkingreww @flaraflavia fla ndek main account e follow koncoe mas, nang 2nd account tok dee government account. Kominfo, BNN, Jokowi, even Luhut Difollow.",0.08333333333333333,0.1666666666666667
1.553061545365557e+18,id,857606054.0,2022-07-29 16:55:01,1.553060146603262e+18,@rayrestufauzi emang badut dah kominfo 🤡,0,0,0,0,@Rayrestufauzi is a clown and Kominfo 🤡,0.0,0.0
1.553061010537206e+18,id,1.413648624702038e+18,2022-07-29 16:52:54,1.552145615026799e+18,"@hyang_wisnu @kemkominfo @Aryprasetyo85 @zhymme @PlateJohnny @BertaSurabaya @farrel27 @delArdian_ @FirzaHusainID @DS_yantie @03__nakula Memastikan perkembangan pembuatan satelit, Kominfo lakukan kunjungan langsung ke AS. @PlateJohnny @kemkominfo",0,0,0,0,"@Hyang_wisnu @kemkominfo @aryprasetyo85 @zhymme @platejohnny @bertasurabaya @farrel27 @delardian_ @firzahusainidid @03__nakula ensures the development of satellites, Kominfo visits the US. @Platejohnny @kemkominfo",0.0,0.0
1.553060917272687e+18,id,1.051436356633747e+18,2022-07-29 16:52:31,1.553060917272687e+18,"INI SAMPE DIBLOKIR KOMINFO ANJG, CAPER, GJLS, BOOMER NORAK, ASUUUUUUU https://t.co/RjdieO3T0N",0,0,0,0,"This was blocked by the Anjg, Caper, GJLS, Boomer, Asuuuuuuuuuuuuuuuuuuu",0.0,0.0
1.553059939253232e+18,id,1.23054901089461e+18,2022-07-29 16:48:38,1.553040478160818e+18,@TretanMuslim @kemkominfo kominfo itu apa ?,0,0,0,0,@Tretanmuslim @kemkominfo Kominfo what?,0.0,0.0
1.553059740821127e+18,id,704578399.0,2022-07-29 16:47:51,1.553040478160818e+18,@TretanMuslim @kemkominfo Kominfo ini ultra whyyyyyyy,0,0,0,0,@Tretanmuslim @kemkominfo Kominfo is ultra whyyyyyyy,0.0,0.0
1.553059735431451e+18,id,9.988163840951706e+17,2022-07-29 16:47:50,1.553059735431451e+18,"Apa yg diharapkan dari kominfo sih? Gaada 🤮
Kode etik aja gapunya, otak ya wassalam
Maen nyatut tapi ga izin atau gimana.. https://t.co/Au7un9Pk9o",0,0,0,0,"What is expected of the Ministry of Communication and Information? No 🤮
Just the code of ethics, the brain is wassalam
Play nyatut but not permission or what ... https://t.co/au7un9pk9o",-0.1,0.4
1.553059631819534e+18,id,1.045292105994711e+18,2022-07-29 16:47:25,1.553059631819534e+18,"""DOAIN AKU BISMILLAH MAU KE DVKUN

BIAR IVANSENA CPT CIMUAN :("" - Denger2 dukunnya diblokir sama kominfo non. Suruh daftarin dulu gih, biar bisa kirim e-jampi (jampi2 digital maksudnya) #tellonym  https://t.co/HFO8LRGO2v",0,1,0,0,"""Pray for me, I want to go to DVKUN

Let Ivansena CPT Cimuan :( "" - Listen to the shamans blocked by Non Kominfo. Tell the Registration first, so I can send e -Jampi (Digital spell",-0.1666666666666667,0.4444444444444444
1.553058635626222e+18,id,151539457.0,2022-07-29 16:43:27,1.553058635626222e+18,"hah? yakin? itu aja PSE kominfo pagu 950miliar aja udah pada ribut aktivis bijital yang kagak kecipratan. brin baru dapet duit aja langsung naik tagar yang jelek2in brin, yakin lo pemerintah punya duit? :)) https://t.co/sHVoay4gwJ",1,0,6,0,"hah? convinced? That's just the PSE Kominfo Ceiling 950 billion, it's already in a bijital activist who is not sprayed. Brin just got money just immediately took the ugly hashtag, Brin, are you sure the government has money? :)) https://t.co/shvoay4gwj",0.1,0.9629629629629629
1.553057771503124e+18,id,608795220.0,2022-07-29 16:40:01,1.553057771503124e+18,lagi nunggu beneran diban ga steam sama kominfo,0,1,0,0,I'm waiting for really diban not steam with the Ministry of Communication and Information,0.2,0.2
