steam_appid,categories,developers,genres,is_free,name,platforms,publishers,release_date,required_age,supported_languages,type,website,price_currency,price_initial,support_url,support_email,coming_soon,review_score,review_score_desc,total_positive,total_negative,total_reviews,positive_rate,controller_support,dlc,metacritic
858630,"Single-player,Steam Achievements,Steam Cloud,Stats",Maulidan Games,"Casual,Indie,Simulation,Strategy,Early Access",False,Aquaculture Land: Fish Farming Simulation,windows,"Maulidan Games,Maple Whispering Limited",2019-06-07,0,"English,French,Simplified Chinese,Traditional Chinese,German,Spanish - Spain,Russian",game,https://www.maulidangames.com,IDR,6500000.0,http://www.maulidangames.com,contact@maulidangames.com,False,6,Mostly Positive,103,27,130,79.23076923076923,,,
1367050,"Single-player,Steam Achievements,Full controller support,Captions available,Steam Cloud","Headbang Games,Oray Studios","Action,Adventure,Indie",False,Becloudead,"windows,linux",Headbang Games,TBA,0,English*,game,http://headbangames.com/becloudead/devblog,,,http://headbangames.com/,avishaymizrav@gmail.com,True,0,No user reviews,0,0,0,,full,,
352780,"Single-player,Steam Achievements,Steam Trading Cards",Kidalang,"Adventure,Indie",False,An Octave Higher,"windows,mac,linux",PLAYISM,2015-03-27,0,English,game,http://kidalang.com/anoctavehigher,IDR,9999900.0,,support@playism.jp,False,8,Very Positive,216,45,261,82.75862068965517,,"415430,415431",
1114640,Single-player,Blissful Work's,"Casual,Indie",False,My Days with the Demoness,"windows,mac,linux",Top Hat Curios & Oddities,TBD 2022,0,English,game,,,,,pr@tophatentertainment.us,True,0,No user reviews,0,0,0,,,,
1158160,"Single-player,Full controller support",Stairway Games,"Adventure,Casual,Indie,RPG,Simulation,Strategy,Early Access",False,Coral Island,windows,Humble Games,"Oct 11, 2022",0,"English,Simplified Chinese,Spanish - Spain,Portuguese - Brazil,German,Japanese,Russian,Korean,French",game,https://www.stairwaygames.com/coral-island,,,https://www.stairwaygames.com/,contact@stairwaygames.com,True,0,No user reviews,0,0,0,,full,,
1402900,"Single-player,Steam Achievements,Partial Controller Support",Twilight,"Adventure,RPG",False,Twilight Memoria,windows,YSY Softworks,2021-08-20,0,English,game,https://www.facebook.com/twilightmemoria/,IDR,4490000.0,https://www.facebook.com/twilightmemoria/,,False,7,Positive,20,0,20,100.0,,,
1055770,Single-player,Willpowaproject,"Action,Adventure,Indie",False,Metal Country,windows,Willpowaproject,2019-04-11,0,English*,game,,IDR,1500000.0,,willpowaproject@outlook.com,False,0,No user reviews,0,0,0,,,,
926240,"Single-player,Multi-player,PvP,Shared/Split Screen PvP,Co-op,Shared/Split Screen Co-op,Partial Controller Support,Remote Play Together",Hakagame,"Action,Indie",False,PsyBurst,windows,Hakagame,2018-09-05,0,English*,game,http://www.hakagame.com/,IDR,2499900.0,http://www.hakagame.com/,,False,0,1 user reviews,1,0,1,100.0,,,
912930,"Single-player,Full controller support,Steam Cloud",Platonic Game Studio,"Adventure,Indie,RPG",False,Insurgence - Chains of Renegade,windows,YSY Softworks,2018-11-09,0,English,game,https://www.something2.net/insurgence,IDR,4999900.0,https://www.something2.net/insurgence,huangyuoxi@gmail.com,False,7,Positive,24,1,25,96.0,full,"918151,918150",
620580,"Single-player,Steam Achievements,Steam Trading Cards,Steam Cloud,Steam Leaderboards",Green Moss Game,"Adventure,Casual,Indie",False,Calico & Co.,windows,Green Moss Game,2018-05-30,0,English,game,,IDR,3999900.0,,greenmossgame@gmail.com,False,5,Mixed,6,4,10,60.0,,,
1772070,"Single-player,Steam Achievements",AnotherIndieGameDev,"Casual,Indie,Strategy",False,Unveiled,"windows,mac,linux",AnotherIndieGameDev,2021-11-05,0,English*,game,,IDR,1749900.0,,anotherindiegamedev.team@gmail.com,False,0,1 user reviews,1,0,1,100.0,,,
642600,"Single-player,Multi-player,Co-op,Shared/Split Screen Co-op,Shared/Split Screen,Steam Achievements,Full controller support,Steam Cloud,Steam Leaderboards,Remote Play Together",Magesoft,"Action,Indie",False,Burst Fighter,windows,Magesoft,2017-09-16,0,English,game,http://magesoft.co.id/games/burst-fighter.html,IDR,4999900.0,magesoft.co.id,contact@magesoft.co.id,False,7,Positive,14,0,14,100.0,full,,
688680,"Single-player,Steam Achievements,Full controller support,Steam Cloud",Dede Bayi,"Adventure,Indie,RPG",False,Oswald's Adventure,windows,MLG Games,2017-08-21,0,English,game,,IDR,2599900.0,,dedebayi.games@gmail.com,False,6,Mostly Positive,17,6,23,73.91304347826086,full,,
854570,"Single-player,Steam Achievements",StoryTale Studios,"Adventure,Indie",False,Pamali: Indonesian Folklore Horror,windows,"StoryTale Studios,Maple Whispering Limited",2018-12-27,0,"English,Simplified Chinese,Traditional Chinese",game,http://pamali.story.co.id/,IDR,4999900.0,,st.story.id@gmail.com,False,8,Very Positive,358,71,429,83.44988344988346,,"990930,990931,990932,1181680,1442541",
1440810,Single-player,"Enthrean Guardian,Eggion,stellarNull","Action,Adventure,Indie,RPG",True,Enthrean Radiance : Prologue,windows,Eggion,2020-10-28,0,English,game,,,,,eggions@gmail.com,False,0,No user reviews,0,0,0,,,,
1722410,"Single-player,Steam Achievements",Sengkala Dev,"Indie,Strategy",False,Perang Laut - Maritime Warfare,windows,Sengkala Dev,2021-10-27,0,English,game,https://sengkaladev.wordpress.com,IDR,8300000.0,https://sengkaladev.wordpress.com/,peranglaut@gmai.com,False,0,1 user reviews,0,1,1,0.0,,,
1814570,"Single-player,Steam Achievements,Full controller support",Xurzerth,"Adventure,RPG",False,Transcendence Legacy - Voidswept,windows,YSY Softworks,2022-04-04,0,English,game,,IDR,2499900.0,,huangyuoxi@gmail.com,False,7,Positive,28,7,35,80.0,full,,
945710,"Single-player,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud",Digital Happiness,"Action,Adventure,Indie",False,DreadOut 2,windows,Digital Happiness,2020-02-21,0,"English*,Russian,Simplified Chinese,Spanish - Spain,Hungarian",game,http://dreadout2.digitalhappiness.net,IDR,10899900.0,digitalhappiness.net,support@digitalhappiness.net,False,6,Mostly Positive,957,318,1275,75.05882352941177,full,1359590,
812590,Single-player,Celestial Project,"Action,Adventure,Casual,Indie,RPG,Strategy",False,Awakening of Celestial,"windows,mac,linux",Celestial Project,2020-02-12,0,English,game,https://awakeningofcelestial.com/,IDR,6999900.0,https://awakeningofcelestial.com/,celestialproject101@gmail.com,False,0,1 user reviews,1,0,1,100.0,,,
1214000,"Single-player,Steam Achievements,Full controller support,Steam Cloud",Glyphis,"Action,Adventure,Indie,RPG",False,CZAR: Decision,windows,"YSY Softworks,Platonic Game Studio",Feb 2023,0,English,game,,,,https://www.facebook.com/czarrpg/,glyphis.entertainment@gmail.com,True,0,No user reviews,0,0,0,,full,,
716330,"Single-player,Steam Achievements,Steam Trading Cards",Vifth Floor,"Violent,Casual,Indie",False,VOID,"windows,mac,linux",Sekai Project,2017-10-31,0,English,game,http://void.vifthfloor.moe,IDR,8900000.0,https://sekaiproject.com/contact/,,False,6,Mostly Positive,23,7,30,76.66666666666667,,,
845370,Single-player,StoryTale Studios,"Adventure,Indie",True,As If Dreaming When You're Wide Awake,windows,StoryTale Studios,,0,English*,game,http://asif.story.co.id/,,,http://asif.story.co.id/,st.story.id@gmail.com,True,0,No user reviews,0,0,0,,,,
