steam_appid,categories,developers,genres,is_free,name,platforms,publishers,release_date,required_age,supported_languages,type,website,price_currency,price_initial,support_url,support_email,coming_soon,review_score,review_score_desc,total_positive,total_negative,total_reviews,positive_rate,dlc,metacritic,controller_support
1181440,"Single-player,Partial Controller Support","Studio Kamii,Todak Studios","Action,Adventure,Indie,Simulation,Early Access",False,ToGather:Island,windows,Todak Studios,2019-12-03,0,"English*,Japanese",game,http://togatherisland.com/,IDR,9599900.0,,tgi.cs@todak.com,False,7,Positive,35,7,42,83.33333333333334,,,
973700,"Single-player,Steam Achievements,Steam Cloud,Stats",Khor Chin Heong,"Action,Indie,Simulation",False,Disassembly VR,windows,Khor Chin Heong,2019-01-31,0,English,game,https://disassembly3d.com,IDR,13999900.0,https://disassembly3d.com,support@disassembly3d.com,False,5,Mixed,70,44,114,61.40350877192983,,,
1865220,Single-player,LsGamedev,Indie,False,Ouija Rumours,windows,LsGamedev,2022-02-13,0,English,game,,IDR,3999900.0,,Chienglisheng@gmail.com,False,7,Positive,27,5,32,84.375,,,
747910,"Single-player,Steam Achievements,Steam Cloud,Stats",Khor Chin Heong,"Indie,Simulation",False,Disassembly 3D,windows,Khor Chin Heong,2017-11-30,0,English,game,https://disassembly3d.com,IDR,13999900.0,https://disassembly3d.com,support@disassembly3d.com,False,8,Very Positive,199,48,247,80.5668016194332,,,
1607430,"Single-player,Steam Achievements,Steam Cloud",Roomah Gaming,"Casual,Indie",False,Memories of East Coast,windows,Roomah Gaming,2021-06-01,0,English,game,https://steamcommunity.com/id/roomahgaming,IDR,2499900.0,,roomahgaming@gmail.com,False,0,5 user reviews,5,0,5,100.0,,,
438920,"Single-player,Steam Achievements,Steam Trading Cards",Boomzap Inc,Strategy,True,Legends of Callasia,"windows,mac",Boomzap Inc,2016-06-10,0,English,game,http://legends.boomzap.com,,,http://legends.boomzap.com/support/,legends@boomzap.com,False,6,Mostly Positive,43,15,58,74.13793103448276,"492640,543090",,
1897990,"Single-player,Steam Cloud",One Eyed Deer,"Action,Casual,Indie",False,Lulu Way,windows,One Eyed Deer,2022-04-29,0,English*,game,,IDR,4899900.0,,oneeyeddeer.games@gmail.com,False,0,1 user reviews,1,0,1,100.0,,,
2025610,"Single-player,Steam Achievements,Steam Cloud",RB Wolf Design,"Adventure,Casual,Indie",False,Once Again,"windows,mac",RB Wolf Games,Aug 2022,0,"English,Simplified Chinese,Traditional Chinese,Japanese",game,https://www.rbwolfgames.com/,,,,hello@rbwolfgames.com,True,0,No user reviews,0,0,0,,,,
505740,"Single-player,Multi-player,PvP,Online PvP,Co-op,Online Co-op,Steam Achievements,Steam Trading Cards,In-App Purchases,Steam Cloud",Ammobox Studios,"Action,Strategy",False,Eximius: Seize the Frontline,windows,Ammobox Studios,2021-03-16,0,"English*,German,Russian,Simplified Chinese,Traditional Chinese",game,https://www.seizethefrontline.com/,IDR,13999900.0,https://www.facebook.com/eximiusgame,support@ammoboxstudios.com,False,6,Mostly Positive,321,100,421,76.24703087885986,"1576310,1576311,1576312,1723520,1723521",53.0,
265870,"Single-player,Steam Trading Cards,Partial Controller Support",Sherman3D,"Adventure,Casual,Indie,RPG,Strategy",False,Alpha Kimori™ 1,windows,Sherman3D,2014-03-17,0,English,game,http://www.AlphaKimori.com,IDR,8999900.0,www.AlphaKimori.com/forum,Info@Sherman3D.com,False,6,Mostly Positive,29,9,38,76.31578947368422,,,
317710,"Single-player,Steam Achievements,Full controller support,Steam Trading Cards,Stats,Steam Leaderboards",Shawn Beck,"Action,Indie",False,Velocibox,"windows,mac,linux",Shawn Beck,2014-09-08,0,"English*,Japanese",game,http://shawnbeckgames.com/velocibox,IDR,3999900.0,http://shawnbeckgames.com/velocibox,shawnbecktp@gmail.com,False,8,Very Positive,239,14,253,94.46640316205533,,,full
823950,"Single-player,Multi-player,Co-op,Online Co-op,LAN Co-op",Magnus Games Studio,"Action,Adventure,Indie,RPG,Simulation,Early Access",False,Re:Legend,windows,505 Games,2019-08-30,0,English*,game,https://www.play-relegend.com/,IDR,10899900.0,https://www.play-relegend.com/contact,,False,5,Mixed,751,500,1251,60.03197442046363,1214950,,
1230990,"Single-player,Steam Workshop,Steam Cloud",XenoAisam,"Action,Adventure",False,Banzai Escape 2,windows,Xenoaisam Studio,2020-02-17,0,"English*,Simplified Chinese",game,,IDR,9599900.0,http://xenoaisam.com/,xenoaisam.studio@gmail.com,False,6,Mostly Positive,13,4,17,76.47058823529412,,,
1389200,Single-player,Hafiz Mohd Rozlan,"Casual,Indie",False,Cramped Room of Death,windows,Hafiz Mohd Rozlan,Coming soon,0,English*,game,,,,,hafizmrozlan@gmail.com,True,0,No user reviews,0,0,0,,,,
440340,"Single-player,Steam Achievements,Steam Trading Cards",XenoAisam,Action,False,Banzai Escape,windows,Xenoaisam Studio,2016-02-29,0,English*,game,,IDR,5599900.0,http://xenoaisam.com/,xenoaisam.studio@gmail.com,False,6,Mostly Positive,56,20,76,73.68421052631578,488530,,
400660,"Single-player,Steam Achievements,Steam Leaderboards",Nerdook Productions,"Action,Adventure,RPG,Strategy",False,Reverse Crawl,"windows,mac",Digerati,2015-09-24,0,English*,game,https://www.digerati.games/game/9-reverse-crawl,IDR,4899900.0,http://nerdook-productions.com/,support@nerdook-productions.com,False,8,Very Positive,306,36,342,89.47368421052632,,,
1095290,"Single-player,Steam Achievements,Full controller support,Steam Cloud",AeonSparx Interactive,"Action,Adventure,Indie,RPG",False,Zombie Soup,"windows,mac,linux",AeonSparx Interactive,Coming Soon,0,"English*,French,Italian,German,Spanish - Spain,Japanese,Korean,Russian,Simplified Chinese,Traditional Chinese",game,http://zombie-soup.com,,,http://zombie-soup.com,zombiesoup@aeonsparx.com,True,0,No user reviews,0,0,0,,,,full
712730,"Single-player,Steam Achievements,Steam Cloud",Kaigan Games OÜ,"Adventure,Indie,Simulation",False,SIMULACRA,"windows,mac","Kaigan Games OÜ,Neon Doctrine",2017-10-26,0,"English*,Simplified Chinese",game,http://www.playsimulacra.com/,IDR,3999900.0,http://www.kaigangames.com/,support@kaigangames.com,False,8,Very Positive,2184,146,2330,93.73390557939915,,,
977950,"Single-player,Steam Achievements,Steam Workshop,Partial Controller Support,Steam Cloud,Includes level editor,Remote Play on Phone,Remote Play on Tablet",7th Beat Games,Indie,False,A Dance of Fire and Ice,"windows,mac","7th Beat Games,indienova",2019-01-24,0,"English,Spanish - Spain,Korean,Simplified Chinese,Traditional Chinese,Portuguese - Brazil,Japanese,Spanish - Latin America,Polish,Romanian,Russian,Vietnamese,Czech,French",game,http://7thbe.at,IDR,4899900.0,http://7thbe.at/support,kyle@7thbe.at,False,8,Very Positive,37662,2424,40086,93.95300104774734,"1027880,1977570,2016420",,
811040,"Single-player,Steam Achievements,Partial Controller Support,Steam Cloud","Lai Ze Ren,Oori","Adventure,Indie",False,Memoir,"windows,mac",Ren Production Sdn Bhd,2018-04-27,0,English*,game,,,,,hello.memoirgame@gmail.com,False,0,4 user reviews,4,0,4,100.0,,,
1278880,"Single-player,Steam Achievements,Partial Controller Support,Steam Cloud",DreamTree Studio Sdn. Bhd.,"Adventure,Casual,Indie",True,DeLight: The Journey Home,windows,DreamTree Studio Sdn. Bhd.,2020-11-19,0,"English,Simplified Chinese,Traditional Chinese",game,,,,htt://www.dreamtreegames.com,wedream@dreamtreegames.com,False,0,No user reviews,0,0,0,,"1390660,1473080,1474140,1474141,1474142",,
1546400,"Single-player,Multi-player,PvP,Online PvP,Shared/Split Screen PvP,Shared/Split Screen,Steam Achievements,Full controller support,Remote Play Together",Passion Republic Games,"Action,Indie",False,GigaBash,windows,Passion Republic Games,2022-08-04,0,"English,French,Italian,German,Spanish - Spain,Japanese,Korean,Polish,Simplified Chinese,Traditional Chinese,Russian,Portuguese - Brazil",game,https://passionrepublicgames.com/,IDR,29699900.0,https://passionrepublicgames.com/,dev@passionrepublicgames.com,False,8,Very Positive,135,13,148,91.21621621621621,,,full
1790370,"Single-player,Steam Achievements,Stats,Steam Leaderboards",Nerdook Productions,"Indie,RPG,Simulation,Strategy",False,Rogue AI Simulator,windows,Surefire.Games,Coming Soon,0,"English*,Simplified Chinese",game,http://nerdook-productions.com/,,,,support@nerdook-productions.com,True,0,No user reviews,0,0,0,,,,
774181,"Single-player,Multi-player,Co-op,Shared/Split Screen Co-op,Shared/Split Screen,Full controller support,Steam Workshop,Steam Cloud,Includes level editor,Remote Play Together",7th Beat Games,"Indie,Early Access",False,Rhythm Doctor,"windows,mac","7th Beat Games,indienova",2021-02-26,0,"English*,Simplified Chinese*,Traditional Chinese*,Korean,Spanish - Latin America,Portuguese - Brazil,Japanese",game,https://rhythmdr.com/,IDR,9999900.0,https://7thbe.at,kyle@7thbe.at,False,9,Overwhelmingly Positive,14313,212,14525,98.54044750430293,,,full
1210150,"Single-player,Steam Achievements,Full controller support,Steam Trading Cards",One More Dream Studios,"Adventure,Indie",False,Ageless,windows,Team17 Digital Ltd,2020-07-28,0,"English,Japanese,Portuguese - Brazil,Russian,Simplified Chinese,Traditional Chinese,French,Italian,German,Spanish - Spain",game,https://www.team17.com/games/ageless/,IDR,10899900.0,https://www.team17.com/support/,help@team17support.com,False,5,Mixed,25,14,39,64.1025641025641,1324660,72.0,full
697130,"Single-player,Steam Achievements,Partial Controller Support,Steam Cloud",Spacepup Entertainment,"Action,Indie,Simulation",False,The 9th Gate,windows,Spacepup Entertainment,2018-10-17,0,"English*,Simplified Chinese,Traditional Chinese,Turkish,Portuguese - Brazil",game,http://www.gospacepups.com/2016/11/project-n.html,IDR,4899900.0,http://www.gospacepups.com,gospacepups@gmail.com,False,5,Mixed,11,9,20,55.00000000000001,,,
1508270,Single-player,Kaigan Games OÜ,"Adventure,Casual,Indie",False,Doctor Who: The Lonely Assassins,windows,"Maze Theory,Another Indie",2021-03-18,0,"English*,French,German,Japanese,Korean,Portuguese - Brazil,Spanish - Latin America,Simplified Chinese,Traditional Chinese",game,https://www.doctorwhothelonelyassassins.com/,IDR,4899900.0,https://www.doctorwhothelonelyassassins.com/,help@maze-theory.com,False,8,Very Positive,433,41,474,91.35021097046413,,81.0,
678960,"Single-player,Multi-player,Co-op,Online Co-op,Steam Achievements,Steam Trading Cards,Partial Controller Support,Steam Cloud",BANDAI NAMCO Studios,"Action,RPG",False,CODE VEIN,windows,BANDAI NAMCO Entertainment,2019-09-26,0,"French,English*,Italian,German,Spanish - Spain,Japanese*,Korean,Portuguese - Brazil,Russian,Spanish - Latin America,Traditional Chinese",game,https://www.bandainamcoent.com/games/code-vein,IDR,49900000.0,https://www.bandainamcoent.com/support,,False,8,Very Positive,26820,4184,31004,86.50496710101922,"773991,774011,875950,875960",72.0,
