steam_appid,categories,controller_support,developers,dlc,genres,is_free,name,platforms,publishers,release_date,required_age,supported_languages,type,website,price_currency,price_initial,support_url,support_email,coming_soon,review_score,review_score_desc,total_positive,total_negative,total_reviews,positive_rate,metacritic
980480,"Single-player,Multi-player,Co-op,Shared/Split Screen Co-op,Shared/Split Screen,Steam Achievements,Full controller support,Steam Leaderboards,Remote Play Together",full,MiSou Games,1130960,"Adventure,RPG",False,Towertale,"windows,linux",MiSou Games,2019-07-30,0,"English,Dutch",game,https://www.misougames.com/towertale,IDR,6999900.0,https://www.misougames.com/contact,misou_dev@misougames.com,False,7,Positive,40,2,42,95.23809523809523,
674690,"Multi-player,PvP,Online PvP,In-App Purchases",,The Studio of Secret6 Inc.,,"Action,Indie,Early Access",True,Project Xandata,windows,Secret 6 LLC,2022-03-22,0,"English*,French,Italian,German,Spanish - Spain,Korean,Russian,Simplified Chinese",game,http://www.projectxandata.com,,,,projectxd@secret6.com,False,0,No user reviews,0,0,0,,
458630,"Single-player,Multi-player,PvP,Shared/Split Screen PvP,Steam Achievements,Steam Trading Cards,Remote Play Together",,Squeaky Wheel,,"Indie,Simulation,Strategy",False,Political Animals,"windows,mac,linux",Positech Games,2016-11-02,0,"English,French,Italian,German,Spanish - Spain,Simplified Chinese,Polish",game,http://www.politicalanimalsgame.com,IDR,9599900.0,www.politicalanimalsgame.com,support@positech.co.uk,False,5,Mixed,98,51,149,65.77181208053692,
650120,Single-player,,Chryse,,"Action,Adventure,Casual,Indie,Simulation",False,Shots Fired,"windows,mac",,202? COPIUM,0,"English*,German*,Russian*,Simplified Chinese*",game,,,,,help@shotsfiredthegame.com,True,0,No user reviews,0,0,0,,
909320,Single-player,,Maccima Games,,"Indie,Simulation,Strategy,Early Access",False,Ruinarch,windows,Squeaky Wheel Studio Inc,2020-08-25,0,English*,game,http://www.maccima.ph,IDR,11999900.0,http://www.maccima.ph,info@maccima.ph,False,8,Very Positive,663,161,824,80.46116504854369,
1375880,"Single-player,Steam Achievements",,Starmage,,RPG,False,Rave Heart,windows,Starmage,2020-08-28,0,English*,game,https://whitemagekyle.wixsite.com/starmagerpg/product-page/rave-heart,IDR,4899900.0,,whitemage.kyle@gmail.com,False,0,7 user reviews,7,0,7,100.0,
1672840,"Single-player,Partial Controller Support",,Solitary Games,,Indie,False,Nyctophobia: Devil Unleashed,windows,Lamina Studios,2021-07-07,0,English*,game,,IDR,4899900.0,,support@laminastudios.com,False,7,Positive,33,8,41,80.48780487804879,
1889160,"Single-player,Partial Controller Support",,Ardeimon,,"Indie,RPG,Simulation",False,Craggenrock,windows,Ardeimon,2023,0,English,game,https://craggenrock.netlify.app,,,,ardeimon.dev@gmail.com,True,0,No user reviews,0,0,0,,
460430,"Single-player,Steam Achievements,Steam Trading Cards,Captions available,Steam Cloud",,Yangyang Mobile,"740370,742350","Adventure,Indie,RPG",False,The Letter - Horror Visual Novel,"windows,mac,linux",Yangyang Mobile,2017-07-24,0,"English*,Simplified Chinese,Traditional Chinese",game,http://theletter.yangyangmobile.com,IDR,13599900.0,http://www.yangyangmobile.com/contact.html,danni@yangyangmobile.com,False,8,Very Positive,913,113,1026,88.98635477582846,
871950,Single-player,,Darius Immanuel D. Guerrero,"899360,1023770","Action,Adventure,Indie,Simulation",False,DERE EVIL EXE,windows,AppSir Games,2018-07-03,0,English*,game,,IDR,2499900.0,http://www.appsirgames.com/p/contact.html,hello@appsirgames.com,False,8,Very Positive,296,38,334,88.62275449101796,
582160,"Single-player,Steam Achievements,Steam Trading Cards,Captions available,In-App Purchases,Partial Controller Support,Remote Play on Tablet",,Ubisoft Montreal,"660080,662350,662351,662352,662353,683850","Action,Adventure,RPG",False,Assassin's Creed® Origins,windows,Ubisoft,2017-10-26,0,"English*,French*,Italian*,German*,Spanish - Spain*,Czech,Dutch,Japanese*,Korean,Polish,Portuguese - Brazil*,Russian*,Simplified Chinese,Traditional Chinese",game,http://assassinscreed.ubisoft.com,IDR,61900000.0,http://support.ubi.com,,False,8,Very Positive,62799,9949,72748,86.32402265354374,
710160,"Single-player,Steam Achievements,Full controller support",full,Boozer Game Studios,,Indie,False,Mula: The Cycle of Shadow,windows,Boozer Game Studios,2017-12-15,0,English*,game,http://www.boozergames.com/,IDR,3999900.0,,info@boozergames.com,False,0,1 user reviews,0,1,1,0.0,
1862030,Single-player,,Snack,,"Action,Free to Play,Indie,Simulation",True,Duloga,windows,Snack,2022-01-22,0,English,game,,,,,almirante.javi@gmail.com,False,0,No user reviews,0,0,0,,
1916950,Single-player,,Solitary Studios,,Indie,False,GoodNight,windows,Lamina Studios,2022-03-16,0,English*,game,,IDR,6999900.0,,support@laminastudios.com,False,6,Mostly Positive,10,3,13,76.92307692307693,
1332890,Single-player,,Darius Immanuel D. Guerrero,,"Action,Adventure,Indie,Simulation",False,HopBound,windows,AppSir Games,2020-06-09,0,English*,game,,IDR,2499900.0,http://www.appsirgames.com/p/contact.html,hello@appsirgames.com,False,7,Positive,23,2,25,92.0,
1660570,Single-player,,Darius Immanuel D. Guerrero,,Indie,False,The Last Yandere: Cursed Dark,windows,AppSir Games,2021-06-23,0,English*,game,,,,http://www.appsirgames.com/p/contact.html,hello@appsirgames.com,False,0,No user reviews,0,0,0,,
328220,"Single-player,Full controller support",full,Quickfire Games,,"Indie,RPG,Simulation",False,Wild Season,"windows,mac,linux",Quickfire Games,2015-12-07,0,English,game,http://www.wildseasonthegame.com,IDR,11999900.0,http://www.quickfire-games.com/contact-us,support@quickfire-games.com,False,4,Mostly Negative,48,132,180,26.666666666666668,
1384350,"Single-player,Multi-player,PvP,Shared/Split Screen PvP,Shared/Split Screen,Steam Achievements,Full controller support",full,Kenisoft Game Studio,,"Action,Casual,Indie,Sports",False,Bricks Frenzy,windows,Kenisoft Game Studio,2020-08-17,0,English*,game,http://kenisoft.com/games,IDR,4899900.0,http://kenisoft.com/,kenn@kenisoft.com,False,7,Positive,10,2,12,83.33333333333334,
355490,"Single-player,Multi-player,MMO",,"Storm Isle Productions,Polywickstudio",,"Indie,Strategy,Early Access",False,Stratus: Battle For The Sky,"windows,mac,linux",Storm Isle Productions,2016-12-02,0,English*,game,http://www.stormisleproductions.com/,IDR,11799900.0,http://www.stormisleproductions.com/,nate@stormisleproductions.com,False,5,Mixed,13,14,27,48.148148148148145,
593700,"Single-player,Steam Achievements,Full controller support,Steam Trading Cards,Steam Leaderboards",full,"Keybol,Nitrome Limited,Mike Studios",,"Action,Adventure,Indie",False,Tower Fortress,"windows,mac",Nitrome Limited,2017-11-20,0,"English,French,German,Spanish - Spain,Portuguese - Brazil,Russian,Simplified Chinese",game,http://www.nitrome.com,IDR,3999900.0,http://www.nitrome.com,support@nitrome.com,False,8,Very Positive,71,4,75,94.66666666666667,
1144740,Single-player,,"Darius Immanuel D. Guerrero,K.S. Sim",,"Free to Play,Indie,RPG,Simulation",False,Artificial Iridescence,windows,AppSir Games,2019-09-04,0,English,game,,,,http://www.appsirgames.com/p/contact.html,hello@appsirgames.com,False,0,No user reviews,0,0,0,,
1458340,"Single-player,Partial Controller Support",,AEthernum,,"Action,Adventure,Indie,RPG,Early Access",False,Legend of Krannia: Cursed Fate,windows,AEthernum,2021-01-25,0,English*,game,,IDR,6999900.0,https://discord.com/channels/758221026353479720/778569900310134785,,False,0,6 user reviews,5,1,6,83.33333333333334,
