steam_appid,categories,developers,genres,is_free,name,platforms,publishers,release_date,required_age,supported_languages,type,website,price_currency,price_initial,support_url,support_email,coming_soon,review_score,review_score_desc,total_positive,total_negative,total_reviews,positive_rate,controller_support,dlc,metacritic
1254400,"Single-player,Steam Cloud",Rahman Abdul,"Action,Adventure,Indie,RPG,Early Access",False,Malus,"windows,linux",team ramen,2020-03-10,0,English*,game,http://www.projectmalus.com,IDR,6999900.0,http://www.projectmalus.com,rahhman530@gmail.com,False,5,Mixed,168,89,257,65.36964980544747,,,
252430,"Single-player,Multi-player,Shared/Split Screen,Steam Achievements,Full controller support,Steam Trading Cards,Steam Leaderboards,Remote Play Together",PD Design Studio,"Action,Indie",False,Dusty Revenge:Co-Op Edition,"windows,mac",PD Design Studio,2014-02-17,0,English*,game,http://www.dustyrevenge.com,IDR,11599900.0,,feedback@dustyrevenge.com,False,5,Mixed,43,48,91,47.25274725274725,full,297050,
582160,"Single-player,Steam Achievements,Steam Trading Cards,Captions available,In-App Purchases,Partial Controller Support,Remote Play on Tablet",Ubisoft Montreal,"Action,Adventure,RPG",False,Assassin's Creed® Origins,windows,Ubisoft,2017-10-26,0,"English*,French*,Italian*,German*,Spanish - Spain*,Czech,Dutch,Japanese*,Korean,Polish,Portuguese - Brazil*,Russian*,Simplified Chinese,Traditional Chinese",game,http://assassinscreed.ubisoft.com,IDR,61900000.0,http://support.ubi.com,,False,8,Very Positive,62799,9949,72748,86.32402265354374,,"660080,662350,662351,662352,662353,683850",
1017360,Single-player,Ignite VR,"Action,Casual,Indie,Simulation,Sports,Strategy",False,IgKnight Golf Defender,windows,Ignite VR,2019-11-06,0,English*,game,http://igknightgames.com/igknight-golf-defender/,IDR,6999900.0,http://igknightgames.com/contact-us/,support@ignite-vr.com,False,0,No user reviews,0,0,0,,,,
390680,"Single-player,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud,Steam Leaderboards",Rotten Mage,"Action,Indie",False,Spacejacked,"windows,mac,linux",Rotten Mage,2016-02-26,0,"English,German,Korean,Russian,Simplified Chinese",game,https://www.spacejacked.com/,IDR,8999900.0,https://github.com/RottenMage/spacejacked-bugs,spacejacked.support@rottenmage.com,False,7,Positive,13,0,13,100.0,full,461060,
1983000,"Single-player,Steam Achievements,Steam Cloud,Steam Leaderboards",Chaoclypse,Action,False,HAYAI,"windows,mac,linux",Chaoclypse,2022-05-19,0,English,game,,IDR,1749900.0,https://twitter.com/chaoclypse,,False,8,Very Positive,119,0,119,100.0,,,
1388570,"Single-player,Steam Achievements",KOEX studio,"Action,Adventure,Indie",False,Seduction,windows,Gamera Games,2021-10-08,0,"English,Simplified Chinese,Traditional Chinese",game,,IDR,5999900.0,https://koexstudio.wordpress.com/,choo5d@yahoo.com.sg,False,5,Mixed,18,22,40,45.0,,,
279580,"Single-player,Multi-player,Shared/Split Screen,Steam Achievements,Steam Trading Cards,Partial Controller Support,Stats,Steam Leaderboards,Remote Play Together",Secret Base,"Action,Adventure,Casual,Indie",False,Devil's Dare 悪魔の挑戦,"windows,mac,linux",Secret Base,2014-10-21,0,English*,game,http://www.devilsdare.com/,IDR,10999900.0,http://www.devilsdare.com/contact-us.html,info@secretbase.com.sg,False,5,Mixed,49,27,76,64.47368421052632,,,
33320,Single-player,Ubisoft Montreal,"Action,Adventure",False,Prince of Persia: The Forgotten Sands™,windows,Ubisoft,2010-06-10,0,"English,French,German,Italian,Spanish - Spain",game,http://www.princeofpersiagame.com,IDR,9900000.0,https://support.ubi.com/,,False,5,Mixed,1036,476,1512,68.51851851851852,,,75.0
1134640,"Single-player,Steam Achievements,Stats",Mezmedia Studios,"Action,Adventure,Casual,RPG,Simulation",False,Sushi Wildlands,windows,Mezmedia Studios,,0,English*,game,http://sushiwildlands.com,,,http://sushiwildlands.com,support@sushiwildlands.com,True,0,No user reviews,0,0,0,,,,
