steam_appid,categories,developers,genres,is_free,name,platforms,publishers,release_date,required_age,supported_languages,type,website,support_url,support_email,coming_soon,review_score,review_score_desc,total_positive,total_negative,total_reviews,controller_support,price_currency,price_initial,positive_rate,dlc,metacritic
1479810,Single-player,TripleBricksGames,"Action,Adventure,Indie,RPG,Strategy",False,Legendary Hoplite,windows,Ravenage Games,coming soon,0,"English*,Vietnamese*",game,https://legendaryhoplite.com/,legendaryhoplite.com,support@triplebricksgames.com,True,0,No user reviews,0,0,0,,,,,,
436870,"Single-player,Multi-player,Co-op,Shared/Split Screen Co-op,Shared/Split Screen,Full controller support,Steam Workshop,Steam Leaderboards,Includes level editor,Remote Play Together",Phung Games,"Action,Casual,Indie,RPG",False,Tank Brawl,windows,Phung Games,2016-04-20,0,English,game,http://www.tankbrawl.com,https://www.facebook.com/PhungGames,contact@phunggames.com,False,5,Mixed,15,9,24,full,IDR,4599900.0,62.5,,
1156360,"Single-player,Steam Achievements,Full controller support,Steam Cloud",Nhat Nguyen,"Indie,RPG,Simulation,Early Access",False,Peaceful Days,windows,Nhat Nguyen,2020-02-03,0,"English,Simplified Chinese,Traditional Chinese,Japanese",game,https://rpgmaker.net/games/9040/,,dsiver144@gmail.com,False,8,Very Positive,130,21,151,full,IDR,6999900.0,86.09271523178808,,
765450,"Single-player,Multi-player,PvP,Online PvP,Shared/Split Screen PvP,Co-op,Online Co-op,Shared/Split Screen Co-op,Shared/Split Screen,Steam Achievements,Full controller support,Steam Cloud,Steam Leaderboards,Remote Play Together",Phung Games,"Action,Adventure,Indie,RPG",False,Tank Brawl 2: Armor Fury,windows,Phung Games,2021-03-26,0,"English,German,Japanese,Russian,Simplified Chinese,French,Italian,Spanish - Spain,Portuguese - Brazil,Vietnamese",game,https://tankbrawl2.com/,http://steamcommunity.com/app/765450/discussions/,contact@phunggames.com,False,5,Mixed,7,6,13,full,IDR,6999900.0,53.84615384615385,,
1148810,"Multi-player,PvP,Online PvP,Steam Cloud",Red Jake Studios LLC,"Action,Indie,Early Access",False,Tip of the Spear: Task Force Elite,windows,Red Jake Studios LLC,2019-12-18,0,"English*,Vietnamese,Portuguese - Brazil,Spanish - Latin America,German,Japanese",game,https://www.redjake.com,https://www.taskforceelite.com,marketing@redjake.com,False,8,Very Positive,158,21,179,,IDR,6999900.0,88.26815642458101,,
1230490,"Single-player,Steam Achievements,Full controller support,Steam Cloud",Hammerhead Shark,"Action,Adventure,Casual,Indie,RPG",False,BOGs: Earth vs Sea,windows,Hammerhead Shark,TBA,0,"English*,Simplified Chinese,Vietnamese",game,,,hammerheadsharkstudio@gmail.com,True,0,No user reviews,0,0,0,full,,,,,
671260,"Single-player,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud",GIANTY Inc.,"Action,RPG",False,GOKEN,"windows,linux",GIANTY Inc.,2017-09-28,0,"English,Japanese",game,https://www.gianty.co.jp/goken/,https://www.gianty.co.jp,info_goken@gianty.co.jp,False,5,Mixed,43,22,65,full,IDR,9599900.0,66.15384615384615,715770,
1393570,"Multi-player,Co-op,Online Co-op",Together Games,"Action,Adventure,Casual,Indie",False,Superbugs: Awaken,windows,Together Games,2022-03-23,0,English*,game,,,togethergamestudio@gmail.com,False,8,Very Positive,125,8,133,,IDR,9599900.0,93.98496240601504,,
1641250,Single-player,Bunbosoup,"Adventure,Casual,Indie",False,Silver Blue,"windows,mac",Bunbosoup,Feb 2022,0,English,game,,https://twitter.com/bunbosoup,cainlaw2606@gmail.com,True,0,No user reviews,0,0,0,,,,,,
1673000,"Single-player,Partial Controller Support",TEGA Studio,"Adventure,Indie",False,Blood Field,windows,TEGA Studio,12/2021,0,"English,Vietnamese*",game,https://tegagames.com/,https://tegagames.com/,admin@tegagames.com,True,0,No user reviews,0,0,0,,,,,,
1726400,"Single-player,Steam Achievements",DUT Studio,"Adventure,Casual,Indie",False,The Death | Thần Trùng,windows,DUT Studio,"TBA, Wishlist now!",0,"English,Simplified Chinese,Vietnamese*,Japanese,Korean",game,https://www.facebook.com/dutstudiovn,https://www.facebook.com/dutstudiovn,,True,0,No user reviews,0,0,0,,,,,,
1274820,Single-player,Tran Duc,"Action,Indie",False,Street Hero,windows,Tran Duc,2020-08-14,0,English*,game,,https://www.facebook.com/Street-Hero-100879228229957,streetherogame@gmail.com,False,5,Mixed,30,13,43,,IDR,2499900.0,69.76744186046511,,
570950,"Single-player,Steam Achievements,Full controller support,Steam Trading Cards,Steam Workshop,Steam Cloud,Includes level editor",Trunks,"Action,Adventure,Casual,Indie,RPG,Early Access",False,Devilated,windows,Neon Doctrine,2021-01-29,0,English,game,https://twitter.com/_Trunks_st,,Devilatedgame@gmail.com,False,7,Positive,35,4,39,full,IDR,10899900.0,89.74358974358975,1789290,
392410,"Single-player,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud",Hikergames,"Action,Adventure,Indie",False,Toy Odyssey: The Lost and Found,"windows,mac",Hikergames,2016-09-20,0,"English*,Simplified Chinese,Japanese",game,,,support@hikergames.com,False,5,Mixed,88,41,129,full,IDR,11599900.0,68.21705426356588,,66.0
575710,"Single-player,Steam Achievements,Full controller support,Steam Trading Cards,Captions available,Steam Leaderboards,Remote Play on TV",Phung Games,"Adventure,Indie",False,"Jump, Step, Step",windows,Phung Games,2017-03-28,0,"English,German,Japanese,Simplified Chinese,Russian",game,https://www.facebook.com/JumpStepStep/,https://www.facebook.com/JumpStepStep/,contact@phunggames.com,False,7,Positive,8,2,10,full,IDR,4599900.0,80.0,602280,
1484900,"Single-player,Steam Achievements,Full controller support",Skrollcat Studio,"Action,Adventure,Casual",False,Hoa,"windows,mac","PM Studios inc.,CE-Asia",2021-08-24,0,"English,French,Italian,German,Spanish - Spain,Japanese,Simplified Chinese,Vietnamese,Korean,Polish,Portuguese - Brazil,Russian,Thai,Traditional Chinese,Turkish",game,http://www.hoathegame.com,http://www.pm-studios.com,support@pm-studios.com,False,8,Very Positive,1379,152,1531,full,IDR,9599900.0,90.07184846505551,1707860,
1930600,"Single-player,Steam Achievements,Full controller support,Steam Cloud",Archmage Games Studio,"Action,Casual,Indie,RPG",False,Beautiful Mystic Survivors,windows,Mango Council,Sep 2022,0,"English,Japanese*,Korean,Russian,Simplified Chinese,Traditional Chinese*",game,,https://discord.gg/Use5DREUjX,,True,0,No user reviews,0,0,0,full,,,,,
756600,"Single-player,Multi-player,PvP,Online PvP,LAN PvP,Co-op,Online Co-op,LAN Co-op,Partial Controller Support,Remote Play Together",Dranya Studio,"Action,Casual,Indie,Early Access",False,Trianga's Project: Battle Splash 2.0,windows,Dranya Studio,2017-12-18,0,"English*,French,Japanese,Korean,Russian,Simplified Chinese,Traditional Chinese",game,http://battlesplash.com/,,battlesplash@dranyastudio.com,False,8,Very Positive,47,4,51,,IDR,6500000.0,92.15686274509804,,
